id,date,sentiment,irony,inferred_occupation,occupation_confidence
1815767148276461568,2024-07-23,NEU,not ironic,politician,0.984446108341217
1815766850195902720,2024-07-23,NEU,ironic,trader,0.9957848191261292
1815766681806872832,2024-07-23,NEG,not ironic,writer,0.9849258661270142
1815766543650722304,2024-07-23,NEU,ironic,podcaster,0.9967306852340698
1815765870485901312,2024-07-23,NEG,not ironic,journalist,0.9975635409355164
1815765500485624064,2024-07-23,POS,ironic,speaker,0.6276310086250305
1815765240904302848,2024-07-23,POS,not ironic,activist,0.9790042638778688
1815765080623005952,2024-07-23,NEU,not ironic,journalist,0.9869965314865112
1815764810509762816,2024-07-23,POS,not ironic,activist,0.8327021598815918
1815764572415901952,2024-07-23,NEU,ironic,youtuber,0.9943503737449646
1815764488999588096,2024-07-23,NEG,ironic,performer,0.9786394834518432
1815764313400910080,2024-07-23,NEG,ironic,writer,0.9885786175727844
1815764301828784384,2024-07-23,NEG,not ironic,writer,0.996599018573761
1815764083200651520,2024-07-23,NEU,not ironic,journalist,0.993567168712616
1815763362426593536,2024-07-23,NEG,not ironic,influencer,0.9823085069656372
1815763321573998848,2024-07-23,POS,ironic,influencer,0.3922017216682434
1815763199674793984,2024-07-23,NEG,ironic,writer,0.8874572515487671
1815762980438466816,2024-07-23,POS,ironic,entrepreneur,0.9981200098991394
1815762733205446912,2024-07-23,NEG,ironic,influencer,0.6988505125045776
1815762476425764864,2024-07-23,NEG,not ironic,activist,0.905780017375946
1815762228567814400,2024-07-23,NEU,ironic,writer,0.9970576167106628
1815760823274328320,2024-07-23,NEG,not ironic,writer,0.853635847568512
1815760811106656512,2024-07-23,NEG,not ironic,influencer,0.9608643054962158
1815760004265443584,2024-07-23,NEU,not ironic,influencer,0.9897040724754332
1815759665222885632,2024-07-23,NEG,ironic,influencer,0.8952950835227966
1815759610906599680,2024-07-23,NEG,not ironic,politician,0.997641146183014
1815759473929261312,2024-07-23,NEU,not ironic,lawyer,0.9979683756828308
1815758705855504384,2024-07-23,NEG,not ironic,journalist,0.9807798862457277
1815758038814621952,2024-07-23,NEG,ironic,writer,0.9948878884315492
1815757901123719680,2024-07-23,NEG,ironic,freelancer,0.6788842082023621
1815757840293773568,2024-07-23,NEG,ironic,influencer,0.9392465353012084
1815757499586228480,2024-07-23,NEG,not ironic,speaker,0.9597752690315248
1815757381394981120,2024-07-23,NEG,not ironic,strategist,0.9224804639816284
1815757024292130816,2024-07-23,NEU,not ironic,lawyer,0.9836803078651428
1815756900497240064,2024-07-23,NEU,not ironic,politician,0.9908642768859864
1815756765897929216,2024-07-23,NEU,ironic,lawyer,0.9929841160774232
1815755554687472128,2024-07-23,NEU,ironic,writer,0.9932510256767272
1815755365713170432,2024-07-23,NEG,ironic,politician,0.9927409887313844
1815754493684072448,2024-07-23,NEG,ironic,activist,0.9911516904830932
1815753796443590912,2024-07-23,NEG,not ironic,educator,0.9964291453361512
1815753698506650112,2024-07-23,NEU,ironic,anchor,0.7598262429237366
1815753630273683712,2024-07-23,NEG,not ironic,influencer,0.9150959849357604
1815753289859809536,2024-07-23,NEU,ironic,speaker,0.8475688695907593
1815752260355322112,2024-07-23,NEG,not ironic,host,0.9945968389511108
1815752243930365952,2024-07-23,NEG,not ironic,journalist,0.997540295124054
1815751500586766336,2024-07-23,NEU,not ironic,influencer,0.6988505125045776
1815751361738215936,2024-07-23,POS,ironic,speaker,0.948810577392578
1815751294709105152,2024-07-23,POS,ironic,artist,0.9941278100013732
1815751218628608000,2024-07-23,NEU,not ironic,executive,0.9276021122932434
1815750901841445120,2024-07-23,POS,not ironic,director,0.994192361831665
1815750781804442112,2024-07-23,NEG,not ironic,journalist,0.994159698486328
1816368745855463936,2024-07-25,NEU,not ironic,freelancer,0.995321810245514
1816362345767276800,2024-07-25,NEG,not ironic,producer,0.9953892230987548
1816362280743002112,2024-07-25,NEG,ironic,journalist,0.9497815370559692
1816362091588247552,2024-07-25,NEG,not ironic,activist,0.9963929057121276
1816361274428518400,2024-07-25,NEU,not ironic,activist,0.4055022895336151
1816821735645147136,2024-07-26,NEU,not ironic,writer,0.9164331555366516
1816821528685871104,2024-07-26,NEG,not ironic,pastor,0.9946060180664062
1816820683055215104,2024-07-26,NEU,ironic,author,0.9974817633628844
1816819621221339648,2024-07-26,POS,not ironic,performer,0.9723876118659972
1816818844054565120,2024-07-26,NEG,ironic,activist,0.9684552550315856
1816818492076634368,2024-07-26,NEU,not ironic,trader,0.9397196769714355
1816818438205038848,2024-07-26,POS,not ironic,writer,0.993153989315033
1816818304780009984,2024-07-26,NEG,not ironic,writer,0.9708076119422911
1816816405578191104,2024-07-26,NEU,ironic,activist,0.9644862413406372
1816815704345088512,2024-07-26,NEG,not ironic,activist,0.9401342272758484
1816814152075149568,2024-07-26,NEU,ironic,performer,0.9557895064353944
1816814006251749888,2024-07-26,NEU,not ironic,writer,0.9785435199737548
1816813995892109568,2024-07-26,NEG,not ironic,writer,0.993942141532898
1816811855202927104,2024-07-26,NEG,not ironic,activist,0.9937111735343932
1816811208416137728,2024-07-26,NEG,not ironic,journalist,0.997540295124054
1816810545112342784,2024-07-26,NEU,not ironic,journalist,0.8289431929588318
1816809545735225600,2024-07-26,NEG,ironic,consultant,0.9952861070632936
1816808604495950080,2024-07-26,NEU,not ironic,politician,0.995406448841095
1816807708521299968,2024-07-26,NEG,ironic,podcaster,0.9970881938934326
1816806993543270400,2024-07-26,NEU,not ironic,journalist,0.9932449460029602
1816806422732316672,2024-07-26,POS,not ironic,writer,0.8671239614486694
1816806170272620800,2024-07-26,NEU,ironic,influencer,0.7844829559326172
1816805575466057984,2024-07-26,POS,not ironic,politician,0.9147647619247437
1816805473405870336,2024-07-26,POS,not ironic,influencer,0.9977781772613524
1816805344829460480,2024-07-26,POS,not ironic,Unknown,0.0
1816804103437095168,2024-07-26,NEG,not ironic,journalist,0.9772090911865234
1816803920003694848,2024-07-26,NEU,ironic,host,0.9968693256378174
1816803695268364800,2024-07-26,NEU,not ironic,influencer,0.9960041642189026
1816803692282102016,2024-07-26,NEU,not ironic,strategist,0.960293471813202
1816802740007223552,2024-07-26,NEG,not ironic,healthcare,0.911676585674286
1816800431005122816,2024-07-26,POS,ironic,journalist,0.9979342222213744
1816797810244653312,2024-07-26,NEU,ironic,educator,0.8273332118988037
1816797646381551616,2024-07-26,NEG,not ironic,lawyer,0.996695637702942
1816796226718699520,2024-07-26,NEU,not ironic,politician,0.6887848377227783
1816794875662074368,2024-07-26,NEU,not ironic,speaker,0.980618953704834
1816794584917197312,2024-07-26,NEU,ironic,performer,0.4381613135337829
1816793303913742336,2024-07-26,NEU,not ironic,journalist,0.9845877289772034
1816792881673187584,2024-07-26,NEG,ironic,activist,0.8959972858428955
1816792852883816448,2024-07-26,POS,not ironic,writer,0.9382242560386658
1816792829668262400,2024-07-26,POS,ironic,freelancer,0.6413637399673462
