week_start,top_topics
2024-06-01,"[(-1, np.float32(0.44840002)), (8, np.float32(0.44655704)), (46, np.float32(0.43866628)), (15, np.float32(0.4289126)), (75, np.float32(0.41384768)), (0, np.float32(0.4126786)), (56, np.float32(0.4083236)), (65, np.float32(0.4056491)), (40, np.float32(0.39639622)), (28, np.float32(0.39498934)), (16, np.float32(0.386748)), (17, np.float32(0.38361263)), (52, np.float32(0.37938905)), (29, np.float32(0.3781228)), (50, np.float32(0.36165452)), (76, np.float32(0.35937533)), (13, np.float32(0.35666436)), (74, np.float32(0.34594277)), (37, np.float32(0.3431514)), (38, np.float32(0.34273982)), (57, np.float32(0.3423461)), (11, np.float32(0.34129405)), (12, np.float32(0.3407398)), (67, np.float32(0.33884043)), (68, np.float32(0.33638072)), (45, np.float32(0.3289405)), (62, np.float32(0.3265592)), (3, np.float32(0.32623774)), (4, np.float32(0.3238662)), (34, np.float32(0.3227944)), (42, np.float32(0.32256383)), (1, np.float32(0.31677365)), (48, np.float32(0.31540912)), (7, np.float32(0.31087458)), (43, np.float32(0.30773246)), (70, np.float32(0.30533955)), (54, np.float32(0.2996477)), (9, np.float32(0.2947167)), (71, np.float32(0.29439932)), (26, np.float32(0.29215932)), (77, np.float32(0.29175732)), (81, np.float32(0.2860678)), (78, np.float32(0.285343)), (84, np.float32(0.27851307)), (83, np.float32(0.27780658)), (55, np.float32(0.2769448)), (19, np.float32(0.27160737)), (21, np.float32(0.26919374)), (23, np.float32(0.26777315)), (14, np.float32(0.26572347)), (5, np.float32(0.26395142)), (2, np.float32(0.2630137)), (49, np.float32(0.25521708)), (24, np.float32(0.2551589)), (6, np.float32(0.25313714)), (32, np.float32(0.25236902)), (41, np.float32(0.25131932)), (10, np.float32(0.24976604)), (36, np.float32(0.24874477)), (51, np.float32(0.24521954)), (25, np.float32(0.24466674)), (31, np.float32(0.24309824)), (22, np.float32(0.23971853)), (35, np.float32(0.23969403)), (79, np.float32(0.23956919)), (72, np.float32(0.2357502)), (63, np.float32(0.2339986)), (33, np.float32(0.23145935)), (53, np.float32(0.2275615)), (61, np.float32(0.2254515)), (58, np.float32(0.21657571)), (73, np.float32(0.21601236)), (18, np.float32(0.21387762)), (64, np.float32(0.21013497)), (66, np.float32(0.20927198)), (30, np.float32(0.20626466)), (47, np.float32(0.19528133)), (60, np.float32(0.19198796)), (59, np.float32(0.18993746)), (82, np.float32(0.18308303)), (69, np.float32(0.16485654)), (80, np.float32(0.13681814)), (44, np.float32(0.13538207)), (27, np.float32(0.109241046)), (20, np.float32(0.081428885)), (39, np.float32(0.03416735))]"
2024-06-08,"[(18, np.float32(0.39172775)), (0, np.float32(0.38405704)), (45, np.float32(0.37738466)), (43, np.float32(0.37376198)), (55, np.float32(0.37142327)), (9, np.float32(0.36229554)), (-1, np.float32(0.36101377)), (38, np.float32(0.33191434)), (58, np.float32(0.32416183)), (22, np.float32(0.3233141)), (1, np.float32(0.31825444)), (7, np.float32(0.3047719)), (74, np.float32(0.29319426)), (5, np.float32(0.28838786)), (78, np.float32(0.28837794)), (16, np.float32(0.2865309)), (48, np.float32(0.2848326)), (4, np.float32(0.28449127)), (26, np.float32(0.28284684)), (17, np.float32(0.26857743)), (3, np.float32(0.26856202)), (41, np.float32(0.2659273)), (13, np.float32(0.25900486)), (81, np.float32(0.25681108)), (56, np.float32(0.255339)), (53, np.float32(0.25377128)), (33, np.float32(0.24844578)), (19, np.float32(0.24790816)), (71, np.float32(0.245246)), (51, np.float32(0.24301833)), (12, np.float32(0.24027096)), (35, np.float32(0.23991996)), (15, np.float32(0.23873839)), (62, np.float32(0.23697089)), (24, np.float32(0.23564348)), (8, np.float32(0.2356056)), (46, np.float32(0.23517351)), (42, np.float32(0.23176646)), (11, np.float32(0.22900799)), (14, np.float32(0.22820902)), (30, np.float32(0.22779346)), (69, np.float32(0.22635636)), (75, np.float32(0.22389795)), (47, np.float32(0.22330585)), (82, np.float32(0.21644078)), (28, np.float32(0.21573025)), (21, np.float32(0.2137154)), (54, np.float32(0.21316952)), (65, np.float32(0.20851602)), (76, np.float32(0.20756148)), (50, np.float32(0.20748891)), (10, np.float32(0.20623824)), (80, np.float32(0.20493019)), (6, np.float32(0.20386821)), (49, np.float32(0.20381534)), (73, np.float32(0.2019467)), (70, np.float32(0.2013448)), (25, np.float32(0.1929313)), (72, np.float32(0.18890852)), (60, np.float32(0.1869233)), (37, np.float32(0.18429612)), (36, np.float32(0.18415518)), (59, np.float32(0.18031919)), (57, np.float32(0.18003753)), (79, np.float32(0.17706466)), (34, np.float32(0.17178497)), (29, np.float32(0.16962132)), (84, np.float32(0.16841564)), (44, np.float32(0.16579366)), (83, np.float32(0.15916508)), (64, np.float32(0.15782672)), (77, np.float32(0.15577197)), (68, np.float32(0.15425809)), (31, np.float32(0.15137736)), (52, np.float32(0.14999396)), (63, np.float32(0.14681965)), (61, np.float32(0.14395949)), (2, np.float32(0.14237818)), (32, np.float32(0.13321158)), (40, np.float32(0.12871383)), (66, np.float32(0.121183604)), (67, np.float32(0.115126)), (20, np.float32(0.1013394)), (23, np.float32(0.090635076)), (39, np.float32(0.07554418)), (27, np.float32(0.045797735))]"
2024-06-15,"[(4, np.float32(0.4838544)), (55, np.float32(0.42331558)), (36, np.float32(0.412639)), (28, np.float32(0.4021896)), (24, np.float32(0.38353953)), (74, np.float32(0.3734311)), (32, np.float32(0.3730391)), (-1, np.float32(0.37266892)), (1, np.float32(0.36930507)), (0, np.float32(0.36930478)), (79, np.float32(0.3539616)), (26, np.float32(0.35010338)), (56, np.float32(0.347168)), (41, np.float32(0.3437404)), (35, np.float32(0.33393794)), (19, np.float32(0.3325494)), (77, np.float32(0.3201595)), (16, np.float32(0.31549042)), (52, np.float32(0.30913275)), (40, np.float32(0.30764836)), (43, np.float32(0.30749223)), (65, np.float32(0.30707067)), (11, np.float32(0.30684042)), (15, np.float32(0.30586037)), (17, np.float32(0.30522528)), (81, np.float32(0.30185086)), (14, np.float32(0.29381758)), (75, np.float32(0.29201472)), (7, np.float32(0.2915603)), (71, np.float32(0.28979167)), (53, np.float32(0.2882256)), (70, np.float32(0.28453368)), (38, np.float32(0.2802262)), (13, np.float32(0.27711985)), (29, np.float32(0.27677917)), (78, np.float32(0.27340177)), (8, np.float32(0.27264118)), (58, np.float32(0.268216)), (51, np.float32(0.26637805)), (21, np.float32(0.26551723)), (72, np.float32(0.26472682)), (57, np.float32(0.25804546)), (50, np.float32(0.252588)), (37, np.float32(0.24908744)), (12, np.float32(0.24246716)), (9, np.float32(0.24244224)), (3, np.float32(0.23784953)), (42, np.float32(0.23540938)), (10, np.float32(0.23379047)), (2, np.float32(0.22734928)), (68, np.float32(0.22729486)), (62, np.float32(0.2217477)), (76, np.float32(0.2155609)), (45, np.float32(0.2123071)), (49, np.float32(0.20800251)), (66, np.float32(0.20682701)), (84, np.float32(0.20603055)), (73, np.float32(0.20573404)), (18, np.float32(0.20463559)), (83, np.float32(0.20095299)), (34, np.float32(0.19166446)), (48, np.float32(0.19153029)), (64, np.float32(0.18912007)), (59, np.float32(0.18754056)), (6, np.float32(0.18419197)), (46, np.float32(0.18396774)), (30, np.float32(0.18134332)), (63, np.float32(0.17952307)), (20, np.float32(0.17419542)), (25, np.float32(0.17334707)), (33, np.float32(0.17045927)), (47, np.float32(0.16169637)), (5, np.float32(0.15851478)), (23, np.float32(0.15461493)), (54, np.float32(0.15072198)), (60, np.float32(0.15006)), (31, np.float32(0.14945886)), (80, np.float32(0.14572775)), (61, np.float32(0.1410671)), (39, np.float32(0.13001065)), (82, np.float32(0.12782252)), (44, np.float32(0.1178035)), (67, np.float32(0.10961018)), (22, np.float32(0.099114716)), (69, np.float32(0.08195934)), (27, np.float32(0.04526924))]"
2024-06-22,"[(55, np.float32(0.4049446)), (74, np.float32(0.37382054)), (78, np.float32(0.3566143)), (56, np.float32(0.33801)), (38, np.float32(0.33212936)), (18, np.float32(0.32666254)), (0, np.float32(0.32033247)), (35, np.float32(0.31786138)), (43, np.float32(0.29909164)), (-1, np.float32(0.29844177)), (3, np.float32(0.29614305)), (16, np.float32(0.292992)), (9, np.float32(0.28370124)), (17, np.float32(0.27299762)), (1, np.float32(0.26834783)), (26, np.float32(0.2611022)), (57, np.float32(0.2562104)), (7, np.float32(0.24455601)), (34, np.float32(0.24310583)), (48, np.float32(0.23440295)), (79, np.float32(0.23406114)), (58, np.float32(0.23396568)), (6, np.float32(0.22569174)), (59, np.float32(0.22525275)), (12, np.float32(0.2239005)), (8, np.float32(0.22326274)), (11, np.float32(0.22049591)), (19, np.float32(0.22011726)), (15, np.float32(0.22006412)), (70, np.float32(0.21779403)), (53, np.float32(0.21130662)), (5, np.float32(0.21013151)), (50, np.float32(0.2098736)), (47, np.float32(0.20886391)), (22, np.float32(0.20827533)), (2, np.float32(0.20710874)), (65, np.float32(0.20617169)), (41, np.float32(0.19986561)), (75, np.float32(0.19386728)), (29, np.float32(0.19281441)), (32, np.float32(0.19102517)), (45, np.float32(0.1876666)), (14, np.float32(0.18650527)), (51, np.float32(0.1861678)), (24, np.float32(0.17935275)), (52, np.float32(0.17643937)), (21, np.float32(0.17449062)), (68, np.float32(0.1740348)), (62, np.float32(0.17294897)), (33, np.float32(0.17033866)), (81, np.float32(0.16391526)), (10, np.float32(0.16307433)), (83, np.float32(0.15905604)), (30, np.float32(0.15740351)), (13, np.float32(0.1539745)), (25, np.float32(0.15268026)), (54, np.float32(0.1524568)), (71, np.float32(0.1521495)), (28, np.float32(0.15192962)), (46, np.float32(0.15175396)), (4, np.float32(0.15076913)), (36, np.float32(0.14829007)), (49, np.float32(0.14683846)), (76, np.float32(0.14028734)), (77, np.float32(0.1392071)), (84, np.float32(0.13456634)), (63, np.float32(0.13143708)), (31, np.float32(0.13134058)), (64, np.float32(0.1272617)), (40, np.float32(0.12581684)), (42, np.float32(0.12353806)), (80, np.float32(0.12256492)), (72, np.float32(0.120224856)), (69, np.float32(0.1194749)), (39, np.float32(0.11701452)), (67, np.float32(0.11247458)), (37, np.float32(0.11117139)), (66, np.float32(0.110176444)), (23, np.float32(0.10114722)), (73, np.float32(0.100624844)), (60, np.float32(0.09703616)), (20, np.float32(0.08981888)), (61, np.float32(0.08119411)), (82, np.float32(0.06984109)), (27, np.float32(0.05917192)), (44, np.float32(0.032710183))]"
2024-06-29,"[(0, np.float32(0.5493291)), (-1, np.float32(0.5300395)), (5, np.float32(0.50609964)), (9, np.float32(0.4666998)), (55, np.float32(0.44604415)), (60, np.float32(0.44541427)), (4, np.float32(0.4417609)), (18, np.float32(0.43414235)), (72, np.float32(0.43145648)), (31, np.float32(0.4254058)), (1, np.float32(0.4241581)), (33, np.float32(0.42125112)), (25, np.float32(0.4091926)), (10, np.float32(0.40506017)), (47, np.float32(0.39792812)), (52, np.float32(0.3898478)), (42, np.float32(0.38907695)), (8, np.float32(0.3836162)), (48, np.float32(0.38182378)), (38, np.float32(0.38128966)), (59, np.float32(0.3795601)), (62, np.float32(0.37721616)), (16, np.float32(0.37382713)), (26, np.float32(0.37065196)), (37, np.float32(0.36811355)), (78, np.float32(0.36379108)), (63, np.float32(0.36244246)), (21, np.float32(0.36229283)), (80, np.float32(0.35974398)), (76, np.float32(0.35823253)), (51, np.float32(0.35764867)), (22, np.float32(0.3528185)), (30, np.float32(0.35260314)), (49, np.float32(0.35190505)), (69, np.float32(0.35095194)), (77, np.float32(0.34802863)), (54, np.float32(0.34616208)), (53, np.float32(0.34568977)), (74, np.float32(0.34495574)), (3, np.float32(0.34332147)), (70, np.float32(0.3383637)), (50, np.float32(0.3366936)), (58, np.float32(0.33017284)), (35, np.float32(0.33005798)), (7, np.float32(0.3286214)), (19, np.float32(0.32834464)), (46, np.float32(0.32723415)), (34, np.float32(0.3210617)), (28, np.float32(0.31887895)), (84, np.float32(0.316594)), (73, np.float32(0.31621376)), (82, np.float32(0.31422415)), (56, np.float32(0.3138767)), (79, np.float32(0.31339136)), (45, np.float32(0.3084464)), (75, np.float32(0.30163917)), (11, np.float32(0.29937738)), (6, np.float32(0.29477724)), (43, np.float32(0.29356894)), (65, np.float32(0.29125845)), (15, np.float32(0.28502122)), (67, np.float32(0.28171626)), (29, np.float32(0.275887)), (2, np.float32(0.27579713)), (83, np.float32(0.2741812)), (36, np.float32(0.269324)), (81, np.float32(0.26559955)), (57, np.float32(0.2643766)), (14, np.float32(0.26402873)), (24, np.float32(0.2638807)), (12, np.float32(0.26194686)), (13, np.float32(0.26093674)), (23, np.float32(0.2563554)), (66, np.float32(0.2509015)), (71, np.float32(0.24554756)), (41, np.float32(0.24418545)), (17, np.float32(0.22457096)), (40, np.float32(0.2241185)), (32, np.float32(0.22291303)), (61, np.float32(0.22268969)), (68, np.float32(0.22126015)), (64, np.float32(0.18449855)), (20, np.float32(0.12150572)), (39, np.float32(0.09644376)), (44, np.float32(0.086967096)), (27, np.float32(0.032662))]"
2024-07-06,"[(45, np.float32(0.7129389)), (-1, np.float32(0.6042939)), (0, np.float32(0.59462225)), (12, np.float32(0.5584638)), (9, np.float32(0.5385099)), (1, np.float32(0.520349)), (16, np.float32(0.51942277)), (55, np.float32(0.5110228)), (74, np.float32(0.50629294)), (15, np.float32(0.49462387)), (17, np.float32(0.48779187)), (8, np.float32(0.48294783)), (50, np.float32(0.4786852)), (46, np.float32(0.47427252)), (28, np.float32(0.4729233)), (5, np.float32(0.4654191)), (38, np.float32(0.46338964)), (4, np.float32(0.46207944)), (49, np.float32(0.45669013)), (2, np.float32(0.45599288)), (3, np.float32(0.45161763)), (6, np.float32(0.44682485)), (52, np.float32(0.44679087)), (72, np.float32(0.44607753)), (13, np.float32(0.43965948)), (40, np.float32(0.4358742)), (14, np.float32(0.4356861)), (10, np.float32(0.43270585)), (19, np.float32(0.428837)), (76, np.float32(0.42292884)), (56, np.float32(0.41788483)), (43, np.float32(0.4168555)), (7, np.float32(0.4153702)), (77, np.float32(0.4148395)), (37, np.float32(0.41294923)), (33, np.float32(0.41167033)), (48, np.float32(0.41030753)), (21, np.float32(0.40924567)), (18, np.float32(0.40752852)), (47, np.float32(0.4046197)), (59, np.float32(0.39570493)), (11, np.float32(0.39539233)), (35, np.float32(0.3952775)), (73, np.float32(0.39393115)), (26, np.float32(0.3932787)), (62, np.float32(0.39271438)), (78, np.float32(0.3893543)), (31, np.float32(0.38606536)), (25, np.float32(0.38560137)), (51, np.float32(0.38539428)), (42, np.float32(0.38413352)), (60, np.float32(0.38405764)), (70, np.float32(0.38346094)), (79, np.float32(0.3832697)), (29, np.float32(0.38316518)), (30, np.float32(0.38225824)), (54, np.float32(0.37846524)), (67, np.float32(0.37553594)), (58, np.float32(0.37513107)), (75, np.float32(0.37215608)), (24, np.float32(0.37125376)), (34, np.float32(0.36407942)), (66, np.float32(0.3637351)), (65, np.float32(0.35690302)), (83, np.float32(0.35657722)), (84, np.float32(0.34555995)), (63, np.float32(0.34500116)), (22, np.float32(0.34479398)), (69, np.float32(0.34015346)), (36, np.float32(0.33944592)), (71, np.float32(0.3364494)), (68, np.float32(0.33100805)), (80, np.float32(0.33074105)), (82, np.float32(0.32838717)), (57, np.float32(0.31511772)), (81, np.float32(0.31300458)), (41, np.float32(0.30595112)), (61, np.float32(0.2961561)), (23, np.float32(0.2941146)), (53, np.float32(0.2934456)), (32, np.float32(0.2824468)), (64, np.float32(0.26422277)), (44, np.float32(0.22151235)), (39, np.float32(0.21928558)), (20, np.float32(0.19062492)), (27, np.float32(0.0723587))]"
2024-07-13,"[(8, np.float32(0.5972239)), (46, np.float32(0.58462334)), (45, np.float32(0.5793766)), (76, np.float32(0.5389693)), (50, np.float32(0.47555143)), (31, np.float32(0.44633082)), (-1, np.float32(0.4413935)), (0, np.float32(0.4330033)), (63, np.float32(0.4206382)), (17, np.float32(0.41521072)), (12, np.float32(0.40614182)), (15, np.float32(0.39772424)), (48, np.float32(0.39135602)), (40, np.float32(0.37330118)), (13, np.float32(0.36793423)), (34, np.float32(0.3512512)), (54, np.float32(0.34825313)), (1, np.float32(0.3321803)), (43, np.float32(0.33119446)), (28, np.float32(0.32542732)), (83, np.float32(0.3188306)), (56, np.float32(0.31268248)), (67, np.float32(0.30435157)), (9, np.float32(0.3038454)), (10, np.float32(0.301477)), (79, np.float32(0.2998274)), (47, np.float32(0.29926687)), (37, np.float32(0.29794115)), (4, np.float32(0.29057038)), (7, np.float32(0.28513977)), (51, np.float32(0.2827495)), (16, np.float32(0.281015)), (5, np.float32(0.2790693)), (35, np.float32(0.27599034)), (3, np.float32(0.2753396)), (33, np.float32(0.26833928)), (19, np.float32(0.2683155)), (52, np.float32(0.26702127)), (75, np.float32(0.26655483)), (38, np.float32(0.26365554)), (77, np.float32(0.26199564)), (26, np.float32(0.2589325)), (73, np.float32(0.25772867)), (65, np.float32(0.25655946)), (25, np.float32(0.25610095)), (11, np.float32(0.25606555)), (6, np.float32(0.25427574)), (42, np.float32(0.24789935)), (66, np.float32(0.24762179)), (2, np.float32(0.24738503)), (30, np.float32(0.24008828)), (18, np.float32(0.23853463)), (81, np.float32(0.23553398)), (60, np.float32(0.23277539)), (49, np.float32(0.23126145)), (21, np.float32(0.22966674)), (74, np.float32(0.22730295)), (14, np.float32(0.22670543)), (23, np.float32(0.22418186)), (69, np.float32(0.2236296)), (72, np.float32(0.22329041)), (62, np.float32(0.2228992)), (53, np.float32(0.22064073)), (59, np.float32(0.21817489)), (78, np.float32(0.21760398)), (29, np.float32(0.21175057)), (57, np.float32(0.21150938)), (68, np.float32(0.20812824)), (22, np.float32(0.2056199)), (80, np.float32(0.19670418)), (70, np.float32(0.19075704)), (24, np.float32(0.18606785)), (61, np.float32(0.17151725)), (44, np.float32(0.15901965)), (82, np.float32(0.15875584)), (32, np.float32(0.15450698)), (71, np.float32(0.15365167)), (55, np.float32(0.1375454)), (41, np.float32(0.13232154)), (84, np.float32(0.119561)), (36, np.float32(0.118223816)), (64, np.float32(0.10350988)), (58, np.float32(0.08777278)), (20, np.float32(0.07908814)), (27, np.float32(0.03605496)), (39, np.float32(-0.0007544141))]"
2024-07-20,"[(45, np.float32(0.50792944)), (8, np.float32(0.4338125)), (12, np.float32(0.424029)), (16, np.float32(0.40625218)), (68, np.float32(0.38196045)), (83, np.float32(0.37889)), (-1, np.float32(0.3784558)), (13, np.float32(0.3629558)), (0, np.float32(0.3627438)), (79, np.float32(0.35422188)), (1, np.float32(0.35355482)), (62, np.float32(0.3483076)), (40, np.float32(0.3477958)), (43, np.float32(0.34378794)), (19, np.float32(0.3361094)), (4, np.float32(0.32566094)), (77, np.float32(0.3225629)), (49, np.float32(0.31897533)), (66, np.float32(0.31263846)), (37, np.float32(0.3123391)), (50, np.float32(0.30793464)), (17, np.float32(0.30623406)), (76, np.float32(0.30187935)), (72, np.float32(0.2981927)), (57, np.float32(0.29620153)), (51, np.float32(0.29285252)), (71, np.float32(0.29121575)), (32, np.float32(0.28888533)), (6, np.float32(0.2876132)), (35, np.float32(0.28521383)), (29, np.float32(0.28448743)), (64, np.float32(0.28220907)), (11, np.float32(0.2795784)), (73, np.float32(0.27618656)), (24, np.float32(0.2752506)), (28, np.float32(0.27485567)), (15, np.float32(0.27176315)), (21, np.float32(0.2713725)), (7, np.float32(0.26625535)), (10, np.float32(0.2657086)), (3, np.float32(0.26299375)), (23, np.float32(0.26207832)), (74, np.float32(0.26022464)), (34, np.float32(0.2559778)), (56, np.float32(0.25207958)), (59, np.float32(0.24987313)), (20, np.float32(0.24916099)), (2, np.float32(0.24718167)), (31, np.float32(0.24652335)), (54, np.float32(0.24507888)), (47, np.float32(0.23639397)), (41, np.float32(0.23548722)), (48, np.float32(0.2349796)), (53, np.float32(0.23426276)), (42, np.float32(0.23103595)), (14, np.float32(0.23074539)), (61, np.float32(0.22929758)), (65, np.float32(0.22504298)), (9, np.float32(0.22154874)), (30, np.float32(0.22010931)), (63, np.float32(0.21951213)), (25, np.float32(0.21671328)), (46, np.float32(0.21583857)), (33, np.float32(0.21420439)), (18, np.float32(0.20960519)), (52, np.float32(0.20928705)), (36, np.float32(0.2083437)), (81, np.float32(0.20779063)), (75, np.float32(0.20764536)), (69, np.float32(0.2059328)), (26, np.float32(0.20321587)), (5, np.float32(0.2011545)), (55, np.float32(0.19938049)), (82, np.float32(0.18021135)), (38, np.float32(0.1796946)), (80, np.float32(0.17669082)), (84, np.float32(0.17460686)), (44, np.float32(0.1597518)), (22, np.float32(0.15920676)), (60, np.float32(0.15674934)), (27, np.float32(0.1557335)), (78, np.float32(0.15269586)), (58, np.float32(0.13712105)), (70, np.float32(0.10941927)), (39, np.float32(0.1033998)), (67, np.float32(0.089915425))]"
2024-07-27,"[(8, np.float32(0.6765387)), (-1, np.float32(0.5524193)), (0, np.float32(0.5398758)), (28, np.float32(0.52246386)), (76, np.float32(0.49415803)), (1, np.float32(0.47264415)), (74, np.float32(0.47188854)), (55, np.float32(0.46324885)), (15, np.float32(0.4512676)), (63, np.float32(0.44541168)), (50, np.float32(0.4426188)), (4, np.float32(0.44211203)), (56, np.float32(0.43874288)), (51, np.float32(0.436361)), (35, np.float32(0.43135092)), (17, np.float32(0.42834306)), (62, np.float32(0.42742854)), (43, np.float32(0.41921282)), (32, np.float32(0.41682416)), (48, np.float32(0.41365498)), (52, np.float32(0.41213864)), (16, np.float32(0.41105646)), (10, np.float32(0.40930778)), (19, np.float32(0.40677762)), (14, np.float32(0.40174103)), (75, np.float32(0.40100312)), (13, np.float32(0.39970237)), (33, np.float32(0.39970052)), (66, np.float32(0.39937347)), (5, np.float32(0.39858183)), (38, np.float32(0.39493924)), (26, np.float32(0.39064294)), (21, np.float32(0.38658968)), (25, np.float32(0.38465005)), (49, np.float32(0.3832449)), (79, np.float32(0.382122)), (53, np.float32(0.3803448)), (30, np.float32(0.37873012)), (37, np.float32(0.37299305)), (6, np.float32(0.37120187)), (7, np.float32(0.37071788)), (9, np.float32(0.36857826)), (2, np.float32(0.36696014)), (46, np.float32(0.3648392)), (36, np.float32(0.36128566)), (83, np.float32(0.35542524)), (82, np.float32(0.35500672)), (61, np.float32(0.35425603)), (45, np.float32(0.3524494)), (54, np.float32(0.35215145)), (84, np.float32(0.3468129)), (80, np.float32(0.3464294)), (65, np.float32(0.34426916)), (67, np.float32(0.3413087)), (29, np.float32(0.33925155)), (77, np.float32(0.33918512)), (31, np.float32(0.3383339)), (59, np.float32(0.33652446)), (42, np.float32(0.3302819)), (58, np.float32(0.3249594)), (47, np.float32(0.31919932)), (73, np.float32(0.31889683)), (23, np.float32(0.31610787)), (69, np.float32(0.3131034)), (34, np.float32(0.30392224)), (40, np.float32(0.30136698)), (60, np.float32(0.2981657)), (18, np.float32(0.29449558)), (72, np.float32(0.29317498)), (3, np.float32(0.29293287)), (71, np.float32(0.29118824)), (68, np.float32(0.27811944)), (24, np.float32(0.2724862)), (70, np.float32(0.27074152)), (12, np.float32(0.26973486)), (81, np.float32(0.2575642)), (41, np.float32(0.25711834)), (11, np.float32(0.2560296)), (22, np.float32(0.22314483)), (57, np.float32(0.21606576)), (44, np.float32(0.19615644)), (78, np.float32(0.19426443)), (20, np.float32(0.14220335)), (64, np.float32(0.11939311)), (39, np.float32(0.103003815)), (27, np.float32(0.005280066))]"
2024-08-03,"[(46, np.float32(0.45474416)), (14, np.float32(0.44867992)), (0, np.float32(0.36527002)), (-1, np.float32(0.35815433)), (15, np.float32(0.34628808)), (50, np.float32(0.34073877)), (28, np.float32(0.3404592)), (23, np.float32(0.34016162)), (44, np.float32(0.33338982)), (13, np.float32(0.3330021)), (45, np.float32(0.3239354)), (8, np.float32(0.3220873)), (49, np.float32(0.32198894)), (43, np.float32(0.31863028)), (67, np.float32(0.31222793)), (76, np.float32(0.3051088)), (63, np.float32(0.29722866)), (83, np.float32(0.29128355)), (51, np.float32(0.2839967)), (17, np.float32(0.2833665)), (66, np.float32(0.28239766)), (2, np.float32(0.28159243)), (5, np.float32(0.28033286)), (79, np.float32(0.26929897)), (1, np.float32(0.2682335)), (7, np.float32(0.26791894)), (4, np.float32(0.2662544)), (52, np.float32(0.26616788)), (10, np.float32(0.26611608)), (48, np.float32(0.2639922)), (6, np.float32(0.25852376)), (31, np.float32(0.25809824)), (42, np.float32(0.25782672)), (12, np.float32(0.2558397)), (82, np.float32(0.25348)), (75, np.float32(0.2400361)), (33, np.float32(0.23644769)), (56, np.float32(0.23512232)), (61, np.float32(0.23081964)), (59, np.float32(0.2308174)), (9, np.float32(0.22734162)), (69, np.float32(0.22676507)), (47, np.float32(0.22325325)), (73, np.float32(0.2220119)), (54, np.float32(0.22172181)), (70, np.float32(0.220399)), (21, np.float32(0.21889776)), (80, np.float32(0.21767916)), (38, np.float32(0.21282619)), (74, np.float32(0.21058258)), (19, np.float32(0.2099064)), (16, np.float32(0.20401952)), (35, np.float32(0.19589347)), (22, np.float32(0.1956484)), (18, np.float32(0.1887345)), (40, np.float32(0.18843827)), (25, np.float32(0.18428075)), (72, np.float32(0.18233217)), (84, np.float32(0.18148954)), (3, np.float32(0.18084675)), (26, np.float32(0.17602935)), (78, np.float32(0.17405395)), (30, np.float32(0.16898951)), (34, np.float32(0.1672318)), (32, np.float32(0.16594426)), (53, np.float32(0.1629664)), (55, np.float32(0.15686312)), (62, np.float32(0.15300426)), (77, np.float32(0.150742)), (11, np.float32(0.14602634)), (81, np.float32(0.14520636)), (60, np.float32(0.14432268)), (41, np.float32(0.14093919)), (65, np.float32(0.14089736)), (58, np.float32(0.13182116)), (29, np.float32(0.12915269)), (36, np.float32(0.12867895)), (39, np.float32(0.12700546)), (24, np.float32(0.11989433)), (68, np.float32(0.11696325)), (71, np.float32(0.115256816)), (37, np.float32(0.10444412)), (20, np.float32(0.09533981)), (57, np.float32(0.044843763)), (64, np.float32(0.043617666)), (27, np.float32(-0.07656337))]"
