week_start,top_topics
2024-06-01,"[(-1, np.float32(0.5201032)), (75, np.float32(0.494546)), (0, np.float32(0.4901898)), (15, np.float32(0.4610842)), (38, np.float32(0.4524753)), (28, np.float32(0.43709385)), (50, np.float32(0.42263094)), (70, np.float32(0.42222235)), (11, np.float32(0.42117223)), (77, np.float32(0.4128002)), (13, np.float32(0.412471)), (40, np.float32(0.41141123)), (17, np.float32(0.39560446)), (62, np.float32(0.39429983)), (84, np.float32(0.39417535)), (48, np.float32(0.39303303)), (1, np.float32(0.3871844)), (67, np.float32(0.38642406)), (72, np.float32(0.38630974)), (19, np.float32(0.38582695)), (10, np.float32(0.38551202)), (29, np.float32(0.38365465)), (4, np.float32(0.3814009)), (76, np.float32(0.3807471)), (34, np.float32(0.3739223)), (52, np.float32(0.37308016)), (7, np.float32(0.37212002)), (8, np.float32(0.3703038)), (71, np.float32(0.3679317)), (5, np.float32(0.3667472)), (12, np.float32(0.3651589)), (37, np.float32(0.3637516)), (78, np.float32(0.3608804)), (33, np.float32(0.3587168)), (3, np.float32(0.3557779)), (65, np.float32(0.3552411)), (21, np.float32(0.3516217)), (16, np.float32(0.3510603)), (2, np.float32(0.3509871)), (55, np.float32(0.34955052)), (42, np.float32(0.34935576)), (46, np.float32(0.34880975)), (9, np.float32(0.34836864)), (14, np.float32(0.3460556)), (81, np.float32(0.3438929)), (24, np.float32(0.33967268)), (45, np.float32(0.3386217)), (56, np.float32(0.33515754)), (74, np.float32(0.3335322)), (57, np.float32(0.3334555)), (6, np.float32(0.32879162)), (36, np.float32(0.32468885)), (43, np.float32(0.3244489)), (64, np.float32(0.31949914)), (25, np.float32(0.31800434)), (68, np.float32(0.31529522)), (41, np.float32(0.31358394)), (51, np.float32(0.31329086)), (22, np.float32(0.31026742)), (49, np.float32(0.30594686)), (73, np.float32(0.29903418)), (23, np.float32(0.28864828)), (53, np.float32(0.28750688)), (83, np.float32(0.2868298)), (63, np.float32(0.2811923)), (54, np.float32(0.27892834)), (26, np.float32(0.2772001)), (30, np.float32(0.2712515)), (35, np.float32(0.26509255)), (60, np.float32(0.26355475)), (47, np.float32(0.25925285)), (61, np.float32(0.25584087)), (32, np.float32(0.25118518)), (31, np.float32(0.2510282)), (18, np.float32(0.24999213)), (59, np.float32(0.24927253)), (82, np.float32(0.24914089)), (58, np.float32(0.24518374)), (79, np.float32(0.24263762)), (69, np.float32(0.2373476)), (66, np.float32(0.23150586)), (44, np.float32(0.21345538)), (80, np.float32(0.1967507)), (20, np.float32(0.12759827)), (27, np.float32(0.12633114)), (39, np.float32(0.09470078))]"
2024-06-08,"[(38, np.float32(0.4571787)), (58, np.float32(0.44612607)), (0, np.float32(0.43518513)), (74, np.float32(0.42996117)), (-1, np.float32(0.4208404)), (18, np.float32(0.41288)), (78, np.float32(0.40390486)), (55, np.float32(0.39148718)), (36, np.float32(0.38104045)), (9, np.float32(0.37980923)), (75, np.float32(0.37671286)), (43, np.float32(0.3674655)), (1, np.float32(0.35197678)), (24, np.float32(0.3485524)), (84, np.float32(0.34344333)), (28, np.float32(0.3400811)), (15, np.float32(0.33664572)), (81, np.float32(0.33649832)), (8, np.float32(0.32782382)), (70, np.float32(0.32609338)), (3, np.float32(0.32021806)), (52, np.float32(0.31741455)), (53, np.float32(0.31541342)), (41, np.float32(0.3118567)), (62, np.float32(0.30503714)), (7, np.float32(0.30454367)), (71, np.float32(0.30383563)), (17, np.float32(0.30363464)), (56, np.float32(0.3012177)), (11, np.float32(0.29956383)), (16, np.float32(0.29900187)), (35, np.float32(0.29696453)), (22, np.float32(0.29644644)), (6, np.float32(0.29598743)), (65, np.float32(0.28808153)), (51, np.float32(0.2829813)), (29, np.float32(0.28141797)), (21, np.float32(0.28052354)), (14, np.float32(0.2794211)), (13, np.float32(0.2781058)), (4, np.float32(0.27515075)), (26, np.float32(0.2712794)), (46, np.float32(0.27055675)), (49, np.float32(0.26981962)), (5, np.float32(0.26880038)), (45, np.float32(0.26798472)), (12, np.float32(0.26569828)), (19, np.float32(0.2614439)), (42, np.float32(0.25710803)), (50, np.float32(0.25657415)), (76, np.float32(0.2549178)), (77, np.float32(0.25392532)), (67, np.float32(0.24980035)), (48, np.float32(0.2473124)), (34, np.float32(0.24299186)), (10, np.float32(0.23887607)), (63, np.float32(0.23731989)), (57, np.float32(0.23724598)), (47, np.float32(0.2344656)), (2, np.float32(0.23185489)), (37, np.float32(0.22944053)), (79, np.float32(0.22528778)), (83, np.float32(0.22377646)), (72, np.float32(0.21821927)), (32, np.float32(0.21662474)), (68, np.float32(0.21474051)), (33, np.float32(0.21314768)), (73, np.float32(0.21171433)), (54, np.float32(0.2095901)), (30, np.float32(0.2073538)), (40, np.float32(0.20396647)), (80, np.float32(0.18938617)), (23, np.float32(0.18848975)), (59, np.float32(0.18844241)), (31, np.float32(0.18625313)), (25, np.float32(0.18426651)), (60, np.float32(0.17706195)), (61, np.float32(0.175679)), (69, np.float32(0.16966933)), (64, np.float32(0.16653696)), (82, np.float32(0.16495398)), (66, np.float32(0.16474496)), (44, np.float32(0.11883296)), (20, np.float32(0.11686596)), (39, np.float32(0.08413432)), (27, np.float32(0.025034409))]"
2024-06-15,"[(4, np.float32(0.37268823)), (11, np.float32(0.3568845)), (41, np.float32(0.32779747)), (36, np.float32(0.3253289)), (55, np.float32(0.3137157)), (0, np.float32(0.30796677)), (24, np.float32(0.30105606)), (-1, np.float32(0.28749633)), (74, np.float32(0.2874514)), (78, np.float32(0.2854449)), (38, np.float32(0.2840312)), (32, np.float32(0.272073)), (28, np.float32(0.26880395)), (19, np.float32(0.26039073)), (56, np.float32(0.24823801)), (81, np.float32(0.23831686)), (21, np.float32(0.2364475)), (70, np.float32(0.23615992)), (15, np.float32(0.23419796)), (1, np.float32(0.23368293)), (8, np.float32(0.23263147)), (26, np.float32(0.23214403)), (13, np.float32(0.23119116)), (9, np.float32(0.22925963)), (79, np.float32(0.2268759)), (40, np.float32(0.225207)), (58, np.float32(0.22427121)), (37, np.float32(0.22339173)), (50, np.float32(0.2227274)), (71, np.float32(0.22264236)), (65, np.float32(0.22060287)), (10, np.float32(0.21610335)), (7, np.float32(0.21484745)), (16, np.float32(0.2137397)), (17, np.float32(0.21279603)), (35, np.float32(0.21183318)), (43, np.float32(0.21079288)), (45, np.float32(0.20747647)), (72, np.float32(0.20597273)), (52, np.float32(0.19715755)), (77, np.float32(0.1947763)), (76, np.float32(0.19431323)), (34, np.float32(0.19234292)), (2, np.float32(0.18503068)), (12, np.float32(0.18363619)), (29, np.float32(0.18117452)), (57, np.float32(0.1810366)), (18, np.float32(0.1797621)), (68, np.float32(0.17901187)), (53, np.float32(0.1786019)), (49, np.float32(0.17465332)), (64, np.float32(0.17342257)), (75, np.float32(0.1725392)), (30, np.float32(0.1686633)), (33, np.float32(0.16340679)), (62, np.float32(0.16269824)), (51, np.float32(0.16016982)), (14, np.float32(0.15977457)), (60, np.float32(0.1582138)), (6, np.float32(0.15431835)), (42, np.float32(0.15080795)), (73, np.float32(0.14833848)), (31, np.float32(0.14706635)), (83, np.float32(0.14667584)), (59, np.float32(0.14561506)), (3, np.float32(0.1428642)), (48, np.float32(0.14117752)), (47, np.float32(0.14086089)), (46, np.float32(0.1394771)), (61, np.float32(0.13937306)), (25, np.float32(0.13935763)), (22, np.float32(0.13798094)), (66, np.float32(0.13296507)), (5, np.float32(0.13111755)), (63, np.float32(0.12822707)), (23, np.float32(0.118833125)), (80, np.float32(0.11439115)), (67, np.float32(0.11060735)), (82, np.float32(0.1100814)), (54, np.float32(0.09862679)), (84, np.float32(0.08263117)), (69, np.float32(0.06356996)), (44, np.float32(0.050447315)), (20, np.float32(0.039109908)), (27, np.float32(0.015636003)), (39, np.float32(0.012626023))]"
2024-06-22,"[(55, np.float32(0.48059952)), (74, np.float32(0.44787613)), (38, np.float32(0.38435185)), (0, np.float32(0.37137836)), (58, np.float32(0.3705993)), (78, np.float32(0.36083603)), (-1, np.float32(0.35740796)), (56, np.float32(0.3308525)), (1, np.float32(0.31416354)), (17, np.float32(0.30965048)), (3, np.float32(0.30768064)), (35, np.float32(0.30680048)), (70, np.float32(0.30335277)), (6, np.float32(0.30313474)), (18, np.float32(0.2992118)), (43, np.float32(0.29796702)), (75, np.float32(0.29569703)), (19, np.float32(0.2947539)), (2, np.float32(0.284779)), (11, np.float32(0.28431216)), (36, np.float32(0.2808323)), (57, np.float32(0.27821082)), (16, np.float32(0.27730379)), (62, np.float32(0.27661484)), (9, np.float32(0.27432948)), (24, np.float32(0.2732763)), (26, np.float32(0.27127412)), (52, np.float32(0.27011168)), (41, np.float32(0.26819327)), (48, np.float32(0.2634529)), (15, np.float32(0.26206818)), (53, np.float32(0.25964224)), (14, np.float32(0.25582835)), (7, np.float32(0.2537793)), (12, np.float32(0.25083682)), (79, np.float32(0.24310842)), (45, np.float32(0.23991227)), (5, np.float32(0.23733024)), (65, np.float32(0.23622447)), (28, np.float32(0.23579693)), (8, np.float32(0.2321313)), (32, np.float32(0.22771496)), (71, np.float32(0.22393242)), (64, np.float32(0.22354074)), (50, np.float32(0.22207347)), (81, np.float32(0.2219165)), (22, np.float32(0.22074395)), (59, np.float32(0.21543567)), (10, np.float32(0.21373849)), (4, np.float32(0.211833)), (34, np.float32(0.21098709)), (51, np.float32(0.20994407)), (40, np.float32(0.20752849)), (77, np.float32(0.20206454)), (33, np.float32(0.20131233)), (49, np.float32(0.20112331)), (13, np.float32(0.20075378)), (47, np.float32(0.20047338)), (76, np.float32(0.1974515)), (21, np.float32(0.19621472)), (37, np.float32(0.18550757)), (23, np.float32(0.18493)), (68, np.float32(0.1779093)), (29, np.float32(0.17688462)), (80, np.float32(0.17540252)), (84, np.float32(0.17222232)), (83, np.float32(0.17103335)), (42, np.float32(0.16279347)), (72, np.float32(0.15876746)), (31, np.float32(0.15780103)), (66, np.float32(0.15733035)), (46, np.float32(0.1572178)), (54, np.float32(0.15687105)), (67, np.float32(0.15672278)), (69, np.float32(0.15456307)), (63, np.float32(0.15231003)), (25, np.float32(0.14725973)), (20, np.float32(0.1439949)), (30, np.float32(0.14368555)), (73, np.float32(0.13839093)), (39, np.float32(0.13463524)), (61, np.float32(0.12972338)), (82, np.float32(0.12819865)), (60, np.float32(0.11950205)), (27, np.float32(0.10100343)), (44, np.float32(0.08193197))]"
2024-06-29,"[(0, np.float32(0.5568291)), (-1, np.float32(0.54767716)), (5, np.float32(0.47575462)), (76, np.float32(0.44312948)), (10, np.float32(0.43966222)), (8, np.float32(0.43922842)), (47, np.float32(0.43768886)), (18, np.float32(0.42521402)), (63, np.float32(0.42488742)), (4, np.float32(0.4236176)), (16, np.float32(0.42055455)), (48, np.float32(0.4172668)), (9, np.float32(0.41303122)), (62, np.float32(0.403731)), (1, np.float32(0.3974559)), (37, np.float32(0.39627445)), (50, np.float32(0.39372805)), (60, np.float32(0.3929507)), (45, np.float32(0.39181745)), (69, np.float32(0.3825088)), (42, np.float32(0.38216648)), (59, np.float32(0.3779236)), (46, np.float32(0.37789416)), (55, np.float32(0.3755386)), (25, np.float32(0.3691009)), (31, np.float32(0.36723158)), (3, np.float32(0.35717776)), (51, np.float32(0.35372484)), (53, np.float32(0.35333812)), (40, np.float32(0.34690416)), (7, np.float32(0.34614426)), (38, np.float32(0.34539112)), (52, np.float32(0.34496346)), (33, np.float32(0.3441002)), (70, np.float32(0.34142038)), (72, np.float32(0.3413006)), (43, np.float32(0.3378881)), (78, np.float32(0.3359345)), (29, np.float32(0.3347885)), (12, np.float32(0.33227888)), (26, np.float32(0.32908788)), (22, np.float32(0.3270904)), (79, np.float32(0.3247558)), (15, np.float32(0.32462043)), (13, np.float32(0.3214911)), (80, np.float32(0.32047755)), (54, np.float32(0.31942657)), (11, np.float32(0.31861153)), (35, np.float32(0.3152175)), (67, np.float32(0.31469047)), (2, np.float32(0.30997014)), (28, np.float32(0.3096097)), (30, np.float32(0.3079311)), (77, np.float32(0.30694306)), (6, np.float32(0.3057484)), (19, np.float32(0.30427837)), (56, np.float32(0.2977482)), (49, np.float32(0.29671824)), (21, np.float32(0.2956503)), (17, np.float32(0.29504576)), (74, np.float32(0.29040343)), (75, np.float32(0.2888931)), (71, np.float32(0.2867318)), (73, np.float32(0.2802297)), (81, np.float32(0.28014383)), (57, np.float32(0.2787578)), (82, np.float32(0.2784503)), (65, np.float32(0.2727704)), (83, np.float32(0.27139336)), (41, np.float32(0.2680268)), (34, np.float32(0.26430276)), (14, np.float32(0.25136715)), (24, np.float32(0.25068206)), (23, np.float32(0.24734157)), (64, np.float32(0.24564695)), (58, np.float32(0.23979521)), (68, np.float32(0.23939416)), (32, np.float32(0.22951913)), (84, np.float32(0.22495726)), (66, np.float32(0.21238196)), (36, np.float32(0.20301294)), (61, np.float32(0.19185445)), (44, np.float32(0.17633706)), (20, np.float32(0.14182085)), (39, np.float32(0.13181564)), (27, np.float32(0.09340222))]"
2024-07-06,"[(38, np.float32(0.4797161)), (70, np.float32(0.4297629)), (55, np.float32(0.41783643)), (78, np.float32(0.4140469)), (-1, np.float32(0.40289983)), (58, np.float32(0.3984537)), (45, np.float32(0.39832982)), (0, np.float32(0.39179593)), (12, np.float32(0.3897568)), (18, np.float32(0.3717068)), (16, np.float32(0.36675578)), (84, np.float32(0.36597672)), (52, np.float32(0.35895938)), (6, np.float32(0.35524353)), (9, np.float32(0.35452968)), (5, np.float32(0.35161385)), (2, np.float32(0.3339333)), (81, np.float32(0.32946044)), (36, np.float32(0.32429492)), (21, np.float32(0.31596252)), (77, np.float32(0.3123863)), (74, np.float32(0.30734807)), (75, np.float32(0.30483758)), (22, np.float32(0.30210117)), (1, np.float32(0.30136374)), (72, np.float32(0.30015865)), (3, np.float32(0.29929817)), (50, np.float32(0.292956)), (11, np.float32(0.28846884)), (8, np.float32(0.2842728)), (43, np.float32(0.28233156)), (10, np.float32(0.2821218)), (29, np.float32(0.2818725)), (33, np.float32(0.28071338)), (62, np.float32(0.28046885)), (28, np.float32(0.27548766)), (67, np.float32(0.27406383)), (15, np.float32(0.273043)), (4, np.float32(0.27099413)), (14, np.float32(0.26405042)), (7, np.float32(0.26280278)), (40, np.float32(0.25902876)), (26, np.float32(0.2564425)), (73, np.float32(0.25092503)), (17, np.float32(0.24758771)), (19, np.float32(0.24672726)), (41, np.float32(0.24647653)), (47, np.float32(0.24553683)), (34, np.float32(0.24458328)), (82, np.float32(0.2419938)), (25, np.float32(0.2407265)), (64, np.float32(0.24037793)), (35, np.float32(0.2391711)), (24, np.float32(0.2386019)), (13, np.float32(0.23843358)), (69, np.float32(0.23569351)), (83, np.float32(0.2273826)), (59, np.float32(0.22604273)), (76, np.float32(0.22573096)), (30, np.float32(0.22183669)), (71, np.float32(0.22168389)), (56, np.float32(0.21447717)), (57, np.float32(0.21442151)), (51, np.float32(0.2143189)), (46, np.float32(0.21113995)), (37, np.float32(0.20726296)), (80, np.float32(0.19765127)), (48, np.float32(0.19758534)), (65, np.float32(0.19277447)), (42, np.float32(0.19051312)), (49, np.float32(0.18648136)), (54, np.float32(0.18616736)), (60, np.float32(0.18519613)), (79, np.float32(0.18027557)), (68, np.float32(0.1764257)), (23, np.float32(0.17038146)), (31, np.float32(0.17012325)), (63, np.float32(0.16910313)), (53, np.float32(0.16648513)), (44, np.float32(0.15542862)), (66, np.float32(0.13924912)), (61, np.float32(0.1326581)), (32, np.float32(0.11196843)), (39, np.float32(0.07808162)), (20, np.float32(0.07623085)), (27, np.float32(0.054308567))]"
2024-07-13,"[(8, np.float32(0.5994122)), (45, np.float32(0.59144807)), (76, np.float32(0.42327577)), (50, np.float32(0.40755498)), (63, np.float32(0.39847994)), (46, np.float32(0.39204872)), (0, np.float32(0.35271645)), (-1, np.float32(0.34090388)), (17, np.float32(0.33984214)), (1, np.float32(0.33398178)), (31, np.float32(0.3309304)), (48, np.float32(0.31707382)), (12, np.float32(0.3068511)), (13, np.float32(0.30565083)), (43, np.float32(0.30261213)), (54, np.float32(0.2938242)), (15, np.float32(0.28943884)), (28, np.float32(0.2794375)), (19, np.float32(0.27732173)), (34, np.float32(0.26429236)), (79, np.float32(0.25651854)), (51, np.float32(0.25365302)), (10, np.float32(0.2517493)), (47, np.float32(0.2516511)), (25, np.float32(0.24834743)), (69, np.float32(0.2474904)), (33, np.float32(0.23669016)), (83, np.float32(0.23541299)), (62, np.float32(0.23455524)), (7, np.float32(0.2342337)), (9, np.float32(0.23001368)), (35, np.float32(0.22635573)), (30, np.float32(0.22527057)), (66, np.float32(0.21821998)), (4, np.float32(0.21686065)), (6, np.float32(0.2151269)), (56, np.float32(0.2146874)), (75, np.float32(0.21447769)), (18, np.float32(0.2131224)), (59, np.float32(0.21146765)), (5, np.float32(0.20867336)), (74, np.float32(0.20812795)), (2, np.float32(0.20698705)), (40, np.float32(0.20570047)), (73, np.float32(0.20557678)), (16, np.float32(0.20443358)), (60, np.float32(0.20209527)), (49, np.float32(0.1952439)), (80, np.float32(0.19288637)), (37, np.float32(0.18730678)), (21, np.float32(0.18296129)), (77, np.float32(0.18107429)), (52, np.float32(0.18055162)), (23, np.float32(0.17958699)), (14, np.float32(0.17841661)), (42, np.float32(0.17726693)), (3, np.float32(0.17296754)), (67, np.float32(0.17180863)), (82, np.float32(0.17143032)), (38, np.float32(0.16643144)), (26, np.float32(0.16517553)), (53, np.float32(0.16288395)), (72, np.float32(0.16144781)), (61, np.float32(0.15798947)), (68, np.float32(0.15661497)), (65, np.float32(0.15214108)), (29, np.float32(0.15155208)), (44, np.float32(0.13684776)), (11, np.float32(0.13487259)), (24, np.float32(0.12132)), (22, np.float32(0.11911192)), (41, np.float32(0.11754215)), (55, np.float32(0.106327206)), (81, np.float32(0.099475294)), (32, np.float32(0.09900358)), (84, np.float32(0.09885371)), (36, np.float32(0.09123599)), (71, np.float32(0.07681471)), (57, np.float32(0.06605341)), (58, np.float32(0.06497356)), (78, np.float32(0.058021344)), (70, np.float32(0.055844903)), (20, np.float32(0.042577986)), (39, np.float32(0.03543537)), (64, np.float32(0.012221601)), (27, np.float32(-0.01738993))]"
2024-07-20,"[(8, np.float32(0.33060658)), (62, np.float32(0.2921486)), (45, np.float32(0.2859692)), (68, np.float32(0.27212936)), (16, np.float32(0.26450968)), (83, np.float32(0.25646678)), (29, np.float32(0.24826255)), (-1, np.float32(0.23433554)), (0, np.float32(0.2308918)), (66, np.float32(0.22761151)), (13, np.float32(0.22740504)), (17, np.float32(0.22701213)), (43, np.float32(0.22649635)), (1, np.float32(0.21996531)), (49, np.float32(0.20971787)), (50, np.float32(0.20685497)), (32, np.float32(0.2005803)), (19, np.float32(0.19694065)), (14, np.float32(0.19099706)), (51, np.float32(0.18958959)), (20, np.float32(0.18895166)), (42, np.float32(0.18735602)), (37, np.float32(0.18452781)), (79, np.float32(0.18281165)), (76, np.float32(0.18254095)), (23, np.float32(0.1820076)), (53, np.float32(0.17898116)), (24, np.float32(0.16733205)), (74, np.float32(0.16259916)), (28, np.float32(0.15907945)), (6, np.float32(0.15829846)), (72, np.float32(0.15660477)), (11, np.float32(0.15589961)), (71, np.float32(0.15522614)), (48, np.float32(0.15407155)), (7, np.float32(0.15301809)), (69, np.float32(0.15067038)), (54, np.float32(0.15056407)), (33, np.float32(0.149367)), (81, np.float32(0.14770848)), (80, np.float32(0.14728528)), (10, np.float32(0.14519688)), (4, np.float32(0.14403978)), (36, np.float32(0.14377606)), (12, np.float32(0.14314629)), (55, np.float32(0.14313576)), (57, np.float32(0.14300773)), (31, np.float32(0.14242914)), (40, np.float32(0.14111584)), (2, np.float32(0.13939932)), (59, np.float32(0.13921984)), (63, np.float32(0.13023731)), (3, np.float32(0.12764703)), (15, np.float32(0.12556186)), (82, np.float32(0.12404264)), (73, np.float32(0.12322027)), (35, np.float32(0.12231246)), (9, np.float32(0.12144641)), (5, np.float32(0.11904286)), (25, np.float32(0.114288405)), (61, np.float32(0.11372851)), (64, np.float32(0.11295395)), (30, np.float32(0.11111805)), (21, np.float32(0.10881351)), (41, np.float32(0.10818939)), (77, np.float32(0.10734044)), (52, np.float32(0.10634227)), (34, np.float32(0.104529984)), (56, np.float32(0.10393004)), (46, np.float32(0.10298385)), (44, np.float32(0.100828364)), (47, np.float32(0.10068971)), (65, np.float32(0.10063192)), (26, np.float32(0.10058695)), (60, np.float32(0.09685074)), (75, np.float32(0.094640836)), (38, np.float32(0.09336611)), (18, np.float32(0.09281808)), (84, np.float32(0.08578178)), (39, np.float32(0.08350564)), (22, np.float32(0.0655098)), (58, np.float32(0.052117877)), (27, np.float32(0.038933225)), (78, np.float32(0.032188855)), (70, np.float32(0.02356181)), (67, np.float32(-0.0090529965))]"
2024-07-27,"[(35, np.float32(0.49692303)), (45, np.float32(0.44330698)), (72, np.float32(0.4275539)), (33, np.float32(0.42315248)), (12, np.float32(0.39884007)), (1, np.float32(0.39831117)), (5, np.float32(0.39700833)), (-1, np.float32(0.3765226)), (21, np.float32(0.37353313)), (0, np.float32(0.37236196)), (73, np.float32(0.35700545)), (9, np.float32(0.35602796)), (6, np.float32(0.35114735)), (30, np.float32(0.336648)), (16, np.float32(0.3289666)), (2, np.float32(0.32465884)), (68, np.float32(0.31503648)), (65, np.float32(0.31158346)), (69, np.float32(0.3086545)), (34, np.float32(0.30723333)), (47, np.float32(0.30149755)), (10, np.float32(0.3012656)), (25, np.float32(0.30105415)), (7, np.float32(0.2984084)), (59, np.float32(0.2951001)), (77, np.float32(0.29331478)), (3, np.float32(0.29182395)), (8, np.float32(0.29166356)), (54, np.float32(0.28254026)), (13, np.float32(0.28030515)), (11, np.float32(0.27775317)), (82, np.float32(0.2741719)), (4, np.float32(0.2703286)), (80, np.float32(0.26977336)), (43, np.float32(0.26729807)), (14, np.float32(0.26504746)), (17, np.float32(0.26446307)), (76, np.float32(0.26420468)), (79, np.float32(0.2641092)), (26, np.float32(0.2625493)), (15, np.float32(0.26176333)), (19, np.float32(0.2604239)), (60, np.float32(0.25860795)), (18, np.float32(0.2574497)), (83, np.float32(0.25736243)), (50, np.float32(0.25706413)), (31, np.float32(0.2558493)), (48, np.float32(0.2554305)), (22, np.float32(0.25335708)), (74, np.float32(0.252964)), (57, np.float32(0.2495664)), (63, np.float32(0.24737233)), (55, np.float32(0.2463206)), (66, np.float32(0.24391994)), (51, np.float32(0.24032453)), (52, np.float32(0.22817543)), (38, np.float32(0.22774196)), (40, np.float32(0.22759509)), (84, np.float32(0.22745204)), (28, np.float32(0.22501162)), (58, np.float32(0.21925423)), (37, np.float32(0.21885449)), (49, np.float32(0.21542007)), (75, np.float32(0.21021558)), (24, np.float32(0.20848876)), (46, np.float32(0.20540181)), (36, np.float32(0.20206562)), (20, np.float32(0.20150246)), (53, np.float32(0.20096028)), (23, np.float32(0.19928625)), (62, np.float32(0.19684356)), (61, np.float32(0.196662)), (78, np.float32(0.19408955)), (56, np.float32(0.19279683)), (32, np.float32(0.18667671)), (67, np.float32(0.1851123)), (29, np.float32(0.18073854)), (71, np.float32(0.18054031)), (81, np.float32(0.17993894)), (70, np.float32(0.1786142)), (44, np.float32(0.16544892)), (64, np.float32(0.1578589)), (42, np.float32(0.15574467)), (41, np.float32(0.14922142)), (27, np.float32(0.110413305)), (39, np.float32(0.076183304))]"
2024-08-03,"[(14, np.float32(0.6491702)), (-1, np.float32(0.5371433)), (0, np.float32(0.52562845)), (13, np.float32(0.48678318)), (43, np.float32(0.4849879)), (45, np.float32(0.4736769)), (50, np.float32(0.47231823)), (15, np.float32(0.4674287)), (63, np.float32(0.46443987)), (28, np.float32(0.455981)), (23, np.float32(0.45287758)), (10, np.float32(0.45192125)), (48, np.float32(0.44551757)), (66, np.float32(0.4446594)), (76, np.float32(0.44395238)), (17, np.float32(0.4375)), (46, np.float32(0.43458283)), (8, np.float32(0.43406653)), (51, np.float32(0.43205497)), (49, np.float32(0.40605026)), (12, np.float32(0.40399218)), (16, np.float32(0.40205508)), (5, np.float32(0.39757168)), (2, np.float32(0.3974301)), (4, np.float32(0.39732957)), (1, np.float32(0.3836301)), (7, np.float32(0.3819031)), (83, np.float32(0.37778836)), (73, np.float32(0.37458724)), (33, np.float32(0.3735113)), (6, np.float32(0.37038282)), (9, np.float32(0.36540508)), (77, np.float32(0.3621055)), (35, np.float32(0.3614827)), (75, np.float32(0.36100927)), (54, np.float32(0.35688424)), (74, np.float32(0.3531599)), (67, np.float32(0.35281706)), (47, np.float32(0.35037085)), (61, np.float32(0.34130952)), (19, np.float32(0.33792207)), (56, np.float32(0.33777556)), (59, np.float32(0.3375903)), (3, np.float32(0.32970178)), (72, np.float32(0.3296973)), (21, np.float32(0.32545167)), (52, np.float32(0.32513472)), (82, np.float32(0.32278425)), (38, np.float32(0.3215725)), (69, np.float32(0.31994843)), (22, np.float32(0.3197322)), (70, np.float32(0.31915343)), (62, np.float32(0.3140001)), (37, np.float32(0.3110444)), (68, np.float32(0.3104143)), (44, np.float32(0.30818796)), (18, np.float32(0.3075746)), (40, np.float32(0.30481815)), (79, np.float32(0.29998404)), (11, np.float32(0.29555142)), (30, np.float32(0.2931778)), (34, np.float32(0.29282475)), (26, np.float32(0.2911052)), (36, np.float32(0.2873702)), (29, np.float32(0.28498587)), (25, np.float32(0.28391975)), (71, np.float32(0.2806661)), (42, np.float32(0.28015122)), (24, np.float32(0.27916175)), (55, np.float32(0.27900034)), (32, np.float32(0.27693483)), (31, np.float32(0.27029544)), (58, np.float32(0.25970438)), (41, np.float32(0.25413537)), (81, np.float32(0.25355557)), (78, np.float32(0.25263962)), (80, np.float32(0.2525279)), (84, np.float32(0.24260747)), (53, np.float32(0.23849297)), (65, np.float32(0.22837147)), (60, np.float32(0.22629961)), (64, np.float32(0.19499484)), (57, np.float32(0.1746356)), (20, np.float32(0.11935297)), (39, np.float32(0.09743719)), (27, np.float32(0.028869882))]"
