,Unnamed: 0.1,Unnamed: 0,id,date,sentiment,irony,Unnamed: 0.2
29638137,22508,22508,1.8246345676153e+18,2024-08-17,NEG,not ironic,
29638138,22509,22509,1.8246345673677253e+18,2024-08-17,POS,ironic,
29638139,22510,22510,1.824634566579196e+18,2024-08-17,NEG,ironic,
29638140,22511,22511,1.824634565660644e+18,2024-08-17,NEU,not ironic,
29638141,22512,22512,1.824634561885516e+18,2024-08-17,NEG,not ironic,
29638142,22513,22513,1.8246345587272297e+18,2024-08-17,NEG,not ironic,
29638143,22514,22514,1.8246345580645253e+18,2024-08-17,NEG,not ironic,
29638144,22515,22515,1.824634557309813e+18,2024-08-17,NEG,not ironic,
29638145,22516,22516,1.8246345565336084e+18,2024-08-17,NEU,ironic,
29638146,22517,22517,1.8246345564874383e+18,2024-08-17,POS,not ironic,
29638147,22518,22518,1.8246345562357844e+18,2024-08-17,NEG,not ironic,
29638148,22519,22519,1.8246345547387003e+18,2024-08-17,NEG,ironic,
29638149,22520,22520,1.824634554121921e+18,2024-08-17,NEG,not ironic,
29638150,22521,22521,1.8246345536859548e+18,2024-08-17,NEU,not ironic,
29638151,22522,22522,1.8246345512613765e+18,2024-08-17,NEU,not ironic,
29638152,22523,22523,1.8246345503973788e+18,2024-08-17,NEU,not ironic,
29638153,22524,22524,1.824634549483213e+18,2024-08-17,NEU,not ironic,
29638154,22525,22525,1.8246345429943872e+18,2024-08-17,NEU,ironic,
29638155,22526,22526,1.8246345398864945e+18,2024-08-17,NEG,ironic,
29638156,22527,22527,1.824634536774222e+18,2024-08-17,NEG,not ironic,
29638157,22528,22528,1.8246345360905587e+18,2024-08-17,NEG,not ironic,
29638158,22529,22529,1.8246345353523653e+18,2024-08-17,NEU,ironic,
29638159,22530,22530,1.824634535184614e+18,2024-08-17,POS,not ironic,
29638160,22531,22531,1.8246345340522043e+18,2024-08-17,NEU,not ironic,
29638161,22532,22532,1.8246345322569444e+18,2024-08-17,NEU,not ironic,
29638162,22533,22533,1.8246345316782449e+18,2024-08-17,NEG,ironic,
29638163,22534,22534,1.824634530642199e+18,2024-08-17,NEG,not ironic,
29638164,22535,22535,1.8246345274924887e+18,2024-08-17,NEU,not ironic,
29638165,22536,22536,1.824634523184936e+18,2024-08-17,NEG,ironic,
29638166,22537,22537,1.8246345230507628e+18,2024-08-17,NEU,not ironic,
29638167,22538,22538,1.8246345227822733e+18,2024-08-17,NEU,not ironic,
29638168,22539,22539,1.8246345219098583e+18,2024-08-17,NEG,ironic,
29638169,22540,22540,1.8246345207688115e+18,2024-08-17,NEU,ironic,
29638170,22541,22541,1.8246345187722647e+18,2024-08-17,POS,not ironic,
29638171,22542,22542,1.8246345186758536e+18,2024-08-17,NEG,ironic,
29638172,22543,22543,1.824634518424196e+18,2024-08-17,NEU,ironic,
29638173,22544,22544,1.824634518353089e+18,2024-08-17,NEU,not ironic,
29638174,22545,22545,1.824634517170086e+18,2024-08-17,NEG,not ironic,
29638175,22546,22546,1.824634517023269e+18,2024-08-17,NEG,not ironic,
29638176,22547,22547,1.824634516041794e+18,2024-08-17,NEG,ironic,
29638177,22548,22548,1.824634515286852e+18,2024-08-17,NEG,not ironic,
29638178,22549,22549,1.824634514720617e+18,2024-08-17,NEG,not ironic,
29638179,22550,22550,1.8246345138484475e+18,2024-08-17,NEU,not ironic,
29638180,22551,22551,1.8246345133954207e+18,2024-08-17,NEG,not ironic,
29638181,22552,22552,1.8246345120404e+18,2024-08-17,NEG,ironic,
29638182,22553,22553,1.8246345114154967e+18,2024-08-17,NEG,not ironic,
29638183,22554,22554,1.82463450979233e+18,2024-08-17,NEU,not ironic,
29638184,22555,22555,1.8246345076405903e+18,2024-08-17,NEG,not ironic,
29638185,22556,22556,1.8246345054050388e+18,2024-08-17,NEG,not ironic,
29638186,22557,22557,1.8246345016931656e+18,2024-08-17,NEG,not ironic,
29638187,22558,22558,1.82463449963391e+18,2024-08-17,NEG,not ironic,
29638188,22559,22559,1.8246344988577715e+18,2024-08-17,NEU,ironic,
29638189,22560,22560,1.824634497234768e+18,2024-08-17,NEG,not ironic,
29638190,22561,22561,1.8246344964630164e+18,2024-08-17,NEU,not ironic,
29638191,22562,22562,1.824634495146099e+18,2024-08-17,NEU,not ironic,
29638192,22563,22563,1.8246344941309832e+18,2024-08-17,NEU,not ironic,
29638193,22564,22564,1.8246344930111045e+18,2024-08-17,NEU,not ironic,
29638194,22565,22565,1.824634492109329e+18,2024-08-17,NEU,not ironic,
29638195,22566,22566,1.8246344918407296e+18,2024-08-17,NEU,not ironic,
29638196,22567,22567,1.824634491337348e+18,2024-08-17,NEG,ironic,
29638197,22568,22568,1.8246344891227464e+18,2024-08-17,NEG,ironic,
29638198,22569,22569,1.824634487344419e+18,2024-08-17,NEG,not ironic,
29638199,22570,22570,1.8246344852138929e+18,2024-08-17,NEG,not ironic,
29638200,22571,22571,1.8246344833178583e+18,2024-08-17,NEG,not ironic,
29638201,22572,22572,1.8246344826341624e+18,2024-08-17,POS,not ironic,
29638202,22573,22573,1.8246344821185864e+18,2024-08-17,NEG,ironic,
29638203,22574,22574,1.8246344801975053e+18,2024-08-17,NEU,not ironic,
29638204,22575,22575,1.824634477831754e+18,2024-08-17,NEU,not ironic,
29638205,22576,22576,1.824634476892439e+18,2024-08-17,NEU,not ironic,
29638206,22577,22577,1.824634476699456e+18,2024-08-17,NEG,not ironic,
29638207,22578,22578,1.8246344760617208e+18,2024-08-17,NEG,ironic,
29638208,22579,22579,1.824634475310916e+18,2024-08-17,POS,not ironic,
29638209,22580,22580,1.8246344747239795e+18,2024-08-17,NEU,not ironic,
29638210,22581,22581,1.8246344746356613e+18,2024-08-17,NEU,not ironic,
29638211,22582,22582,1.824634474375812e+18,2024-08-17,NEU,not ironic,
29638212,22583,22583,1.8246344694556268e+18,2024-08-17,NEG,ironic,
29638213,22584,22584,1.8246344680002893e+18,2024-08-17,NEU,not ironic,
29638214,22585,22585,1.8246344676101527e+18,2024-08-17,NEU,not ironic,
29638215,22586,22586,1.824634466410828e+18,2024-08-17,NEG,ironic,
29638216,22587,22587,1.8246344663644905e+18,2024-08-17,NEU,not ironic,
29638217,22588,22588,1.8246344656975508e+18,2024-08-17,NEG,ironic,
29638218,22589,22589,1.8246344642212088e+18,2024-08-17,NEG,not ironic,
29638219,22590,22590,1.8246344640620173e+18,2024-08-17,NEG,ironic,
29638220,22591,22591,1.824634461197112e+18,2024-08-17,NEG,not ironic,
29638221,22592,22592,1.824634460177834e+18,2024-08-17,POS,ironic,
29638222,22593,22593,1.8246344588147548e+18,2024-08-17,NEG,ironic,
29638223,22594,22594,1.824634458114343e+18,2024-08-17,NEU,not ironic,
29638224,22595,22595,1.8246344577284424e+18,2024-08-17,POS,not ironic,
29638225,22596,22596,1.8246344564197376e+18,2024-08-17,NEG,not ironic,
29638226,22597,22597,1.8246344556732173e+18,2024-08-17,NEU,not ironic,
29638227,22598,22598,1.8246344553378647e+18,2024-08-17,NEU,not ironic,
29638228,22599,22599,1.824634454851162e+18,2024-08-17,NEG,ironic,
29638229,22600,22600,1.82463445418419e+18,2024-08-17,NEU,ironic,
29638230,22601,22601,1.82463445003604e+18,2024-08-17,NEU,not ironic,
29638231,22602,22602,1.8246344467898744e+18,2024-08-17,POS,not ironic,
29638232,22603,22603,1.8246344466221007e+18,2024-08-17,NEU,not ironic,
29638233,22604,22604,1.8246344460766287e+18,2024-08-17,POS,not ironic,
29638234,22605,22605,1.8246344438704745e+18,2024-08-17,NEG,not ironic,
29638235,22606,22606,1.824634443425829e+18,2024-08-17,NEU,not ironic,
29638236,22607,22607,1.8246344409721329e+18,2024-08-17,NEG,not ironic,
29638237,22608,22608,1.824634440137499e+18,2024-08-17,NEG,not ironic,
29638238,22609,22609,1.8246344393450048e+18,2024-08-17,NEG,not ironic,
29638239,22610,22610,1.824634437293712e+18,2024-08-17,NEG,ironic,
29638240,22611,22611,1.8246344350539727e+18,2024-08-17,NEG,not ironic,
29638241,22612,22612,1.8246344338588347e+18,2024-08-17,NEG,not ironic,
29638242,22613,22613,1.8246344336028265e+18,2024-08-17,NEU,ironic,
29638243,22614,22614,1.8246344325080965e+18,2024-08-17,NEG,ironic,
29638244,22615,22615,1.8246344317405307e+18,2024-08-17,NEU,not ironic,
29638245,22616,22616,1.824634431602299e+18,2024-08-17,POS,ironic,
29638246,22617,22617,1.82463443108615e+18,2024-08-17,NEG,not ironic,
29638247,22618,22618,1.8246344303856845e+18,2024-08-17,NEG,not ironic,
29638248,22619,22619,1.8246344290228024e+18,2024-08-17,NEU,ironic,
29638249,22620,22620,1.8246344272610184e+18,2024-08-17,NEU,not ironic,
29638250,22621,22621,1.8246344257930284e+18,2024-08-17,NEG,not ironic,
29638251,22622,22622,1.82463442567132e+18,2024-08-17,NEG,ironic,
29638252,22623,22623,1.824634424941515e+18,2024-08-17,NEU,ironic,
29638253,22624,22624,1.824634424820208e+18,2024-08-17,NEG,ironic,
29638254,22625,22625,1.8246344241907185e+18,2024-08-17,NEG,ironic,
