week_start,week_end,title,source,published_at,url,description
2024-06-01,2024-06-07,Republican voters have one last chance to rebuke Trump,msnbc.com,2024-06-04T18:21:35.000000Z,https://www.msnbc.com/opinion/msnbc-opinion/republican-primary-elections-2024-trump-verdict-rcna155331,Tuesday's primaries will be the first since Donald Trump was convicted in New York and the last chance until November for Republicans to rebuke him.
2024-06-08,2024-06-14,Washington ‘lunatics’ seek regime change in Russia – former Trump rival,rt.com,2024-06-09T06:40:53.000000Z,https://www.rt.com/news/599024-washington-lunatics-seeks-regime-change/,Vivek Ramaswamy has warned that the White House is planning a “full-on offense on Russia” to fulfill its goal of regime change
2024-06-15,2024-06-21,"Former KKK Leader David Duke Joins Anti-Israel Protesters, Says He’s ‘Saving Our Country From Jewish Supremacy’",algemeiner.com,2024-06-17T22:18:48.000000Z,https://www.algemeiner.com/2024/06/17/former-kkk-leader-david-duke-joins-anti-israel-protesters-says-saving-country-jewish-supremacy/,"Former Ku Klux Klan leader David Duke was spotted alongside supporters of fellow white supremacist and Holocaust denier Nick Fuentes, an online personality, in ..."
2024-06-22,2024-06-28,Pro-Russian propagandists are sure happy that Julian Assange is free. We should be worried.,msnbc.com,2024-06-27T16:51:53.000000Z,https://www.msnbc.com/the-reidout/reidout-blog/julian-assange-release-russian-propagandists-rcna159165,"Wikileaks founder Julian Assange’s release from custody has serious national security implications, especially when it comes to Russia."
2024-06-29,2024-07-05,Biden ‘united Democrats and Republicans’ with debate performance – Musk,rt.com,2024-07-01T14:14:24.000000Z,https://www.rt.com/news/600275-biden-unites-america-musk/,"Americans of different political convictions agree on President Biden’s cognitive decline, according to Elon Musk"
2024-07-06,2024-07-12,"Exclusive – Vivek Ramaswamy Predicts Intra-America First ‘Debate’ on Level of Government Power, Control After Populists Vanquished Neocons",breitbart.com,2024-07-07T17:27:37.000000Z,https://www.breitbart.com/politics/2024/07/07/exclusive-vivek-ramaswamy-predicts-intra-america-first-debate-level-government-power-control-after-populists-vanquished-neocons/,"DETROIT, Michigan — Former 2024 GOP presidential candidate businessman Vivek Ramaswamy told Breitbart News exclusively at the Turning Point Action People’s ..."
2024-07-13,2024-07-19,Vivek Ramaswamy 'would consider' taking JD Vance's Senate seat if asked,foxnews.com,2024-07-16T15:23:45.000000Z,https://www.foxnews.com/politics/vivek-ramaswamy-floated-possible-senate-replacement-jd-vance-ohio,"If Trump and his running mate JD Vance are elected, Ohio Gov. Mike DeWine will need to fill the state's Senate seat, and some are suggesting Vivek Ramaswamy."
2024-07-20,2024-07-26,Comedian Zarna Garg praises Usha Vance as husband JD's 'secret superpower': 'You can't deny' this about her,foxnews.com,2024-07-21T13:00:22.000000Z,https://www.foxnews.com/media/comedian-zarna-garg-praises-usha-vance-husband-jds-secret-superpower-cant-deny-her,Indian-American comedian Zarna Garg offered praise for JD Vance's wife Usha and shared her enthusiasm about the larger number of Indian-Americans getting involv...
2024-07-27,2024-08-02,Vivek Ramaswamy: A baby shortage threatens America's future while our leaders nap,foxnews.com,2024-08-01T22:23:16.000000Z,https://www.foxnews.com/opinion/vivek-ramaswamy-baby-shortage-threatens-americas-future-while-our-leaders-nap,"The Democratic Party and their media allies are smearing vice presidential nominee JD Vance as ""weird"" because he dared to suggest policies to reward family for..."
2024-08-03,2024-08-09,Kamala Harris picking Tim Walz is a 'reset' for the Trump campaign: Vivek Ramaswamy,foxnews.com,2024-08-07T13:01:50.000000Z,https://www.foxnews.com/media/kamala-harris-picking-tim-walz-reset-trump-campaign-vivek-ramaswamy,Former GOP presidential candidate Vivek Ramaswamy said Vice President Harris made a strategic mistake in picking Minnesota Gov. Tim Walz as her running mate.
