,Unnamed: 0.1,Unnamed: 0,id,date,sentiment,irony,Unnamed: 0.2
37505252,23177,23177,1837107256191766803,2024-09-20,NEG,ironic,
37505253,23178,23178,1837107255868805233,2024-09-20,NEU,not ironic,
37505254,23179,23179,1837107255520419974,2024-09-20,NEG,ironic,
37505255,23180,23180,1837107255478477283,2024-09-20,NEG,not ironic,
37505256,23181,23181,1837107254429950049,2024-09-20,POS,ironic,
37505257,23182,23182,1837107253939208317,2024-09-20,POS,not ironic,
37505258,23183,23183,1837107253192556892,2024-09-20,NEG,ironic,
37505259,23184,23184,1837107252777365708,2024-09-20,NEU,not ironic,
37505260,23185,23185,1837107250902499686,2024-09-20,NEG,not ironic,
37505261,23186,23186,1837107249690358236,2024-09-20,POS,not ironic,
37505262,23187,23187,1837107247526371647,2024-09-20,NEU,not ironic,
37505263,23188,23188,1837107245911326749,2024-09-20,NEU,not ironic,
37505264,23189,23189,1837107245751943567,2024-09-20,POS,not ironic,
37505265,23190,23190,1837107244686623059,2024-09-20,NEG,not ironic,
37505266,23191,23191,1837107244514591169,2024-09-20,NEG,not ironic,
37505267,23192,23192,1837107240416760080,2024-09-20,NEU,not ironic,
37505268,23193,23193,1837107238940311736,2024-09-20,NEG,not ironic,
37505269,23194,23194,1837107238596423822,2024-09-20,NEU,ironic,
37505270,23195,23195,1837107238407672124,2024-09-20,NEU,not ironic,
37505271,23196,23196,1837107238323831084,2024-09-20,POS,not ironic,
37505272,23197,23197,1837107237568786861,2024-09-20,NEU,ironic,
37505273,23198,23198,1837107237275267316,2024-09-20,NEG,not ironic,
37505274,23199,23199,1837107237191348359,2024-09-20,NEU,not ironic,
37505275,23200,23200,1837107234305667405,2024-09-20,POS,ironic,
37505276,23201,23201,1837107234028818470,2024-09-20,NEU,not ironic,
37505277,23202,23202,1837107233684947399,2024-09-20,NEU,not ironic,
37505278,23203,23203,1837107232275644442,2024-09-20,NEG,ironic,
37505279,23204,23204,1837107230593679711,2024-09-20,NEU,not ironic,
37505280,23205,23205,1837107229599629448,2024-09-20,NEU,not ironic,
37505281,23206,23206,1837107229117256009,2024-09-20,NEU,not ironic,
37505282,23207,23207,1837107226986566032,2024-09-20,NEU,not ironic,
37505283,23208,23208,1837107226453967229,2024-09-20,NEG,not ironic,
37505284,23209,23209,1837107225308897706,2024-09-20,NEU,ironic,
37505285,23210,23210,1837107224553918567,2024-09-20,NEG,not ironic,
37505286,23211,23211,1837107224109318168,2024-09-20,NEG,ironic,
37505287,23212,23212,1837107222301524476,2024-09-20,NEG,not ironic,
37505288,23213,23213,1837107220682530837,2024-09-20,POS,not ironic,
37505289,23214,23214,1837107219877482741,2024-09-20,NEG,not ironic,
37505290,23215,23215,1837107218723836374,2024-09-20,POS,ironic,
37505291,23216,23216,1837107218522767851,2024-09-20,NEG,not ironic,
37505292,23217,23217,1837107218426036489,2024-09-20,NEG,not ironic,
37505293,23218,23218,1837107218346373614,2024-09-20,NEG,not ironic,
37505294,23219,23219,1837107217973096805,2024-09-20,NEG,ironic,
37505295,23220,23220,1837107217645891701,2024-09-20,NEG,not ironic,
37505296,23221,23221,1837107214957564021,2024-09-20,NEU,not ironic,
37505297,23222,23222,1837107214953115772,2024-09-20,POS,not ironic,
37505298,23223,23223,1837107214395281640,2024-09-20,POS,not ironic,
37505299,23224,23224,1837107210108760246,2024-09-20,NEG,ironic,
37505300,23225,23225,1837107208997245110,2024-09-20,NEG,ironic,
37505301,23226,23226,1837107208955248728,2024-09-20,NEG,not ironic,
37505302,23227,23227,1837107207869026366,2024-09-20,NEU,not ironic,
37505303,23228,23228,1837107207046889509,2024-09-20,NEU,ironic,
37505304,23229,23229,1837107206942036116,2024-09-20,NEU,not ironic,
37505305,23230,23230,1837107206354784520,2024-09-20,NEU,ironic,
37505306,23231,23231,1837107204626760001,2024-09-20,NEG,not ironic,
37505307,23232,23232,1837107203037171833,2024-09-20,NEU,not ironic,
37505308,23233,23233,1837107201455837256,2024-09-20,NEU,not ironic,
37505309,23234,23234,1837107201241931867,2024-09-20,NEU,not ironic,
37505310,23235,23235,1837107200914821566,2024-09-20,NEU,not ironic,
37505311,23236,23236,1837107198813499414,2024-09-20,POS,ironic,
37505312,23237,23237,1837107197148270939,2024-09-20,POS,not ironic,
37505313,23238,23238,1837107195667771446,2024-09-20,POS,not ironic,
37505314,23239,23239,1837107192408760630,2024-09-20,NEG,not ironic,
37505315,23240,23240,1837107191175680226,2024-09-20,NEG,ironic,
37505316,23241,23241,1837107190433193986,2024-09-20,NEU,ironic,
37505317,23242,23242,1837107189057470519,2024-09-20,NEU,not ironic,
37505318,23243,23243,1837107186985566342,2024-09-20,NEU,not ironic,
37505319,23244,23244,1837107186306081279,2024-09-20,NEG,not ironic,
37505320,23245,23245,1837107186004082828,2024-09-20,NEG,not ironic,
37505321,23246,23246,1837107184989012309,2024-09-20,NEG,not ironic,
37505322,23247,23247,1837107184615690413,2024-09-20,NEG,ironic,
37505323,23248,23248,1837107183713997118,2024-09-20,POS,not ironic,
37505324,23249,23249,1837107180547289286,2024-09-20,NEU,ironic,
37505325,23250,23250,1837107178626281748,2024-09-20,NEG,ironic,
37505326,23251,23251,1837107178169057661,2024-09-20,NEG,ironic,
37505327,23252,23252,1837107177024012640,2024-09-20,NEG,ironic,
37505328,23253,23253,1837107176810086822,2024-09-20,POS,not ironic,
37505329,23254,23254,1837107176600485924,2024-09-20,NEG,ironic,
37505330,23255,23255,1837107175556272249,2024-09-20,NEU,not ironic,
37505331,23256,23256,1837107174406869471,2024-09-20,NEG,ironic,
37505332,23257,23257,1837107173714743669,2024-09-20,NEG,not ironic,
37505333,23258,23258,1837107173395956046,2024-09-20,NEG,not ironic,
37505334,23259,23259,1837107173156966751,2024-09-20,NEG,ironic,
37505335,23260,23260,1837107172993552528,2024-09-20,NEU,not ironic,
37505336,23261,23261,1837107172594929956,2024-09-20,NEG,not ironic,
37505337,23262,23262,1837107170703270382,2024-09-20,NEG,ironic,
37505338,23263,23263,1837107170535518710,2024-09-20,NEG,not ironic,
37505339,23264,23264,1837107170132820450,2024-09-20,NEG,not ironic,
