,id,date,sentiment,irony
0,1.823679202358354e+18,2024-08-14,NEU,not ironic
1,1.8236792003411604e+18,2024-08-14,NEG,not ironic
2,1.823679198512235e+18,2024-08-14,NEU,not ironic
3,1.823679198147318e+18,2024-08-14,NEU,not ironic
4,1.8236791966960315e+18,2024-08-14,NEG,not ironic
5,1.823679195903357e+18,2024-08-14,POS,not ironic
6,1.8236791955468567e+18,2024-08-14,NEU,not ironic
7,1.823679194519184e+18,2024-08-14,NEG,ironic
8,1.8236791918307003e+18,2024-08-14,NEG,not ironic
9,1.8236791912099103e+18,2024-08-14,POS,ironic
10,1.823679190924772e+18,2024-08-14,NEG,not ironic
11,1.823679189100168e+18,2024-08-14,NEU,ironic
12,1.823679187900576e+18,2024-08-14,NEG,not ironic
13,1.8236791872927585e+18,2024-08-14,NEG,not ironic
14,1.8236791847088005e+18,2024-08-14,POS,not ironic
15,1.8236791814707405e+18,2024-08-14,NEG,ironic
16,1.8236791801244183e+18,2024-08-14,POS,not ironic
17,1.823679179646288e+18,2024-08-14,NEU,not ironic
18,1.823679179436504e+18,2024-08-14,NEU,not ironic
19,1.8236791785305416e+18,2024-08-14,NEU,ironic
20,1.823679174415942e+18,2024-08-14,NEU,not ironic
21,1.823679173954597e+18,2024-08-14,NEG,ironic
22,1.8236791722057976e+18,2024-08-14,NEG,ironic
23,1.8236791716183493e+18,2024-08-14,NEG,not ironic
24,1.823679169319838e+18,2024-08-14,NEU,not ironic
25,1.8236791654152192e+18,2024-08-14,NEU,not ironic
26,1.82367916479837e+18,2024-08-14,NEU,ironic
27,1.8236791613883968e+18,2024-08-14,NEU,not ironic
28,1.8236791603776105e+18,2024-08-14,POS,not ironic
29,1.823679157860983e+18,2024-08-14,NEG,not ironic
30,1.8236791562546217e+18,2024-08-14,NEU,not ironic
31,1.823679153725448e+18,2024-08-14,NEG,ironic
32,1.8236791526265364e+18,2024-08-14,POS,not ironic
33,1.8236791521609403e+18,2024-08-14,NEU,not ironic
34,1.823679151972242e+18,2024-08-14,NEG,ironic
35,1.823679151112438e+18,2024-08-14,NEU,not ironic
36,1.8236791498667287e+18,2024-08-14,NEG,ironic
37,1.823679144225317e+18,2024-08-14,NEU,not ironic
38,1.82367914381428e+18,2024-08-14,POS,not ironic
39,1.8236791431935224e+18,2024-08-14,NEG,ironic
40,1.8236791427659776e+18,2024-08-14,NEG,ironic
41,1.8236791420401544e+18,2024-08-14,NEG,not ironic
42,1.823679141360648e+18,2024-08-14,POS,not ironic
43,1.823679138298749e+18,2024-08-14,POS,ironic
44,1.8236791381393536e+18,2024-08-14,POS,ironic
45,1.8236791353375703e+18,2024-08-14,NEG,not ironic
46,1.8236791346538824e+18,2024-08-14,NEG,not ironic
47,1.8236791312901207e+18,2024-08-14,NEG,ironic
48,1.8236791302540785e+18,2024-08-14,NEG,not ironic
49,1.8236791302540536e+18,2024-08-14,NEU,not ironic
50,1.823679125757809e+18,2024-08-14,NEG,not ironic
51,1.8236791252125e+18,2024-08-14,NEU,not ironic
52,1.8236791190636872e+18,2024-08-14,NEU,not ironic
53,1.823679118262854e+18,2024-08-14,POS,ironic
54,1.8236791177760973e+18,2024-08-14,NEU,not ironic
55,1.823679115968312e+18,2024-08-14,POS,ironic
56,1.8236791144793293e+18,2024-08-14,NEG,ironic
57,1.8236791104066524e+18,2024-08-14,NEG,not ironic
58,1.8236791093832207e+18,2024-08-14,NEU,ironic
59,1.823679108523697e+18,2024-08-14,NEG,ironic
60,1.8236791076006423e+18,2024-08-14,NEU,ironic
61,1.823679107428676e+18,2024-08-14,NEG,ironic
62,1.823679106849911e+18,2024-08-14,NEU,not ironic
63,1.8236791048407987e+18,2024-08-14,NEU,not ironic
64,1.82367910385098e+18,2024-08-14,NEG,not ironic
65,1.82367910201385e+18,2024-08-14,NEU,not ironic
66,1.8236791018251064e+18,2024-08-14,NEU,not ironic
67,1.823679101464368e+18,2024-08-14,NEU,not ironic
68,1.82367910040746e+18,2024-08-14,NEG,not ironic
69,1.8236790994555948e+18,2024-08-14,NEU,not ironic
70,1.823679098436432e+18,2024-08-14,NEU,not ironic
71,1.8236790978446792e+18,2024-08-14,NEU,not ironic
72,1.823679091662373e+18,2024-08-14,NEU,ironic
73,1.8236790909408507e+18,2024-08-14,NEU,ironic
74,1.8236790903662308e+18,2024-08-14,NEG,ironic
75,1.8236790879168348e+18,2024-08-14,NEG,not ironic
76,1.8236790878832973e+18,2024-08-14,NEU,not ironic
77,1.8236790870066752e+18,2024-08-14,NEG,not ironic
78,1.82367908697734e+18,2024-08-14,NEG,not ironic
79,1.8236790862977848e+18,2024-08-14,NEG,not ironic
80,1.8236790854172265e+18,2024-08-14,NEG,ironic
81,1.823679084129391e+18,2024-08-14,NEG,not ironic
82,1.82367908157499e+18,2024-08-14,NEU,not ironic
83,1.8236790777833068e+18,2024-08-14,NEU,ironic
84,1.8236790754765087e+18,2024-08-14,NEG,not ironic
85,1.823679075069608e+18,2024-08-14,NEG,not ironic
86,1.8236790727922035e+18,2024-08-14,NEG,ironic
87,1.8236790694325407e+18,2024-08-14,NEU,not ironic
88,1.823679063233348e+18,2024-08-14,NEG,not ironic
89,1.8236790620924603e+18,2024-08-14,POS,ironic
90,1.823679058011431e+18,2024-08-14,NEU,not ironic
91,1.8236790575502505e+18,2024-08-14,NEG,ironic
92,1.8236790544420705e+18,2024-08-14,NEU,ironic
93,1.823679054081356e+18,2024-08-14,NEG,ironic
94,1.823679053745853e+18,2024-08-14,NEG,ironic
95,1.8236790495389164e+18,2024-08-14,NEG,ironic
96,1.8236790485281551e+18,2024-08-14,NEG,not ironic
97,1.8236790481002988e+18,2024-08-14,NEU,not ironic
98,1.823679047185871e+18,2024-08-14,NEG,ironic
99,1.8236790451683988e+18,2024-08-14,POS,not ironic
100,1.8236790448370693e+18,2024-08-14,NEG,not ironic
101,1.8236790435872404e+18,2024-08-14,NEU,ironic
102,1.823679042123354e+18,2024-08-14,POS,not ironic
103,1.8236790414186903e+18,2024-08-14,NEU,ironic
104,1.823679039409644e+18,2024-08-14,NEG,not ironic
105,1.823679038965142e+18,2024-08-14,NEU,ironic
106,1.8236790378452047e+18,2024-08-14,NEU,not ironic
107,1.823679037253829e+18,2024-08-14,NEG,not ironic
108,1.8236790285884247e+18,2024-08-14,POS,not ironic
109,1.8236790281144727e+18,2024-08-14,NEG,not ironic
110,1.823679025937625e+18,2024-08-14,NEG,ironic
111,1.8236790234712724e+18,2024-08-14,NEU,not ironic
112,1.8236790219235904e+18,2024-08-14,NEG,ironic
113,1.823679019847492e+18,2024-08-14,NEU,ironic
114,1.823679018899579e+18,2024-08-14,NEG,not ironic
115,1.8236790188159053e+18,2024-08-14,NEG,not ironic
116,1.8236790185136868e+18,2024-08-14,NEU,not ironic
117,1.8236790184423672e+18,2024-08-14,POS,not ironic
118,1.8236790177335503e+18,2024-08-14,NEG,not ironic
119,1.823679017100235e+18,2024-08-14,NEG,not ironic
120,1.823679015472792e+18,2024-08-14,NEG,not ironic
121,1.8236790143360865e+18,2024-08-14,NEU,not ironic
122,1.823679009630114e+18,2024-08-14,NEG,not ironic
123,1.823679009244504e+18,2024-08-14,NEG,ironic
124,1.8236790085480123e+18,2024-08-14,NEU,not ironic
125,1.823679006916408e+18,2024-08-14,NEU,ironic
126,1.8236790056959053e+18,2024-08-14,NEU,ironic
127,1.8236790039174188e+18,2024-08-14,NEG,ironic
128,1.823679003405804e+18,2024-08-14,NEU,not ironic
129,1.8236790013925256e+18,2024-08-14,NEG,not ironic
130,1.823679000834724e+18,2024-08-14,NEU,not ironic
131,1.8236789988759063e+18,2024-08-14,POS,not ironic
132,1.823678998439736e+18,2024-08-14,NEG,ironic
133,1.823678996908749e+18,2024-08-14,NEG,not ironic
134,1.8236789965271084e+18,2024-08-14,NEG,not ironic
135,1.8236789937210737e+18,2024-08-14,NEU,ironic
136,1.8236789898288207e+18,2024-08-14,NEG,not ironic
137,1.8236789897074363e+18,2024-08-14,POS,ironic
138,1.8236789891703603e+18,2024-08-14,NEU,not ironic
139,1.823678987656422e+18,2024-08-14,NEU,not ironic
140,1.823678987165463e+18,2024-08-14,NEU,not ironic
141,1.8236789864566088e+18,2024-08-14,NEG,not ironic
142,1.823678985663857e+18,2024-08-14,NEU,not ironic
143,1.823678985173148e+18,2024-08-14,NEG,ironic
144,1.8236789846155515e+18,2024-08-14,NEG,ironic
145,1.8236789828788964e+18,2024-08-14,NEU,not ironic
146,1.82367898276975e+18,2024-08-14,NEU,ironic
147,1.823678980341281e+18,2024-08-14,NEG,not ironic
148,1.8236789795320548e+18,2024-08-14,NEU,not ironic
149,1.823678978433172e+18,2024-08-14,POS,not ironic
150,1.823678976566473e+18,2024-08-14,NEG,not ironic
151,1.823678975778161e+18,2024-08-14,NEU,not ironic
152,1.8236789757233728e+18,2024-08-14,NEU,not ironic
153,1.8236789751697285e+18,2024-08-14,NEU,not ironic
154,1.823678975018984e+18,2024-08-14,NEG,not ironic
155,1.823678974502777e+18,2024-08-14,POS,ironic
156,1.8236789737771748e+18,2024-08-14,NEG,not ironic
157,1.8236789732238216e+18,2024-08-14,NEU,ironic
158,1.823678973160612e+18,2024-08-14,NEU,not ironic
159,1.8236789718856297e+18,2024-08-14,NEG,ironic
160,1.8236789714535224e+18,2024-08-14,NEU,not ironic
161,1.823678971336385e+18,2024-08-14,POS,not ironic
162,1.8236789711641644e+18,2024-08-14,NEU,not ironic
163,1.8236789685091945e+18,2024-08-14,POS,ironic
164,1.8236789678299543e+18,2024-08-14,NEU,not ironic
165,1.823678967251133e+18,2024-08-14,NEU,ironic
166,1.823678967074665e+18,2024-08-14,NEU,not ironic
167,1.8236789661687967e+18,2024-08-14,NEG,not ironic
168,1.8236789619830868e+18,2024-08-14,NEG,ironic
169,1.823678961315877e+18,2024-08-14,NEG,not ironic
170,1.8236789610813112e+18,2024-08-14,NEG,not ironic
171,1.8236789601963625e+18,2024-08-14,NEG,ironic
172,1.8236789595921329e+18,2024-08-14,NEG,ironic
173,1.823678954777039e+18,2024-08-14,NEG,not ironic
174,1.8236789537074995e+18,2024-08-14,NEU,not ironic
175,1.8236789531538107e+18,2024-08-14,NEU,not ironic
176,1.823678950112981e+18,2024-08-14,POS,not ironic
177,1.823678949685105e+18,2024-08-14,NEU,ironic
178,1.8236789455746703e+18,2024-08-14,NEG,ironic
179,1.823678945532756e+18,2024-08-14,NEG,not ironic
180,1.823678945146868e+18,2024-08-14,NEU,not ironic
181,1.8236789429239155e+18,2024-08-14,NEU,not ironic
182,1.8236789392832228e+18,2024-08-14,POS,not ironic
183,1.823678936326263e+18,2024-08-14,NEG,not ironic
184,1.8236789338854444e+18,2024-08-14,POS,not ironic
185,1.8236789333776755e+18,2024-08-14,NEU,not ironic
186,1.8236789326981617e+18,2024-08-14,POS,ironic
187,1.823678926897447e+18,2024-08-14,NEG,not ironic
188,1.823678925962117e+18,2024-08-14,NEG,ironic
189,1.823678925291029e+18,2024-08-14,NEG,ironic
190,1.8236789233532275e+18,2024-08-14,NEG,ironic
191,1.8236789222418028e+18,2024-08-14,NEG,ironic
192,1.8236789214490345e+18,2024-08-14,NEU,not ironic
193,1.823678920870269e+18,2024-08-14,NEU,not ironic
194,1.8236789186137664e+18,2024-08-14,NEU,ironic
195,1.823678917745468e+18,2024-08-14,NEU,not ironic
196,1.8236789169736952e+18,2024-08-14,NEG,ironic
197,1.8236789163448817e+18,2024-08-14,NEG,not ironic
198,1.8236789115088325e+18,2024-08-14,NEG,not ironic
199,1.8236789101202967e+18,2024-08-14,NEU,ironic
200,1.8236789097469875e+18,2024-08-14,NEU,not ironic
201,1.8236789013709048e+18,2024-08-14,NEG,ironic
202,1.8236788990766984e+18,2024-08-14,NEG,not ironic
203,1.823678898753659e+18,2024-08-14,NEG,ironic
204,1.8236788981709453e+18,2024-08-14,NEG,ironic
205,1.823678897038168e+18,2024-08-14,POS,not ironic
206,1.823678895167824e+18,2024-08-14,NEU,ironic
