,id,date,sentiment,irony
0,1816529216508432640,2024-07-25,NEG,not ironic
1,1816529216273547776,2024-07-25,NEG,not ironic
2,1816529216126746880,2024-07-25,NEG,not ironic
3,1816529215069782016,2024-07-25,NEG,not ironic
4,1816529213740208384,2024-07-25,NEG,not ironic
5,1816529213534720256,2024-07-25,NEU,not ironic
6,1816529212955918592,2024-07-25,NEG,ironic
7,1816529210879672320,2024-07-25,NEU,ironic
8,1816529210644791808,2024-07-25,NEG,not ironic
9,1816529210565100032,2024-07-25,NEG,ironic
10,1816529210552516608,2024-07-25,NEG,ironic
11,1816529210212847616,2024-07-25,POS,not ironic
12,1816529210049200384,2024-07-25,NEU,not ironic
13,1816529209747210496,2024-07-25,NEU,ironic
14,1816529207930888704,2024-07-25,NEG,ironic
15,1816529207499063552,2024-07-25,NEU,ironic
16,1816529206055989248,2024-07-25,NEG,ironic
17,1816529204353040384,2024-07-25,POS,not ironic
18,1816529203862626816,2024-07-25,NEG,not ironic
19,1816529203774521600,2024-07-25,NEG,not ironic
20,1816529203703292416,2024-07-25,NEG,not ironic
21,1816529202864357632,2024-07-25,NEG,ironic
22,1816529202474287360,2024-07-25,NEG,not ironic
23,1816529202159739136,2024-07-25,NEG,not ironic
24,1816529201048215808,2024-07-25,NEU,not ironic
25,1816529199949042176,2024-07-25,NEG,ironic
26,1816529198875644160,2024-07-25,NEU,not ironic
27,1816529198242234368,2024-07-25,POS,ironic
28,1816529198019936512,2024-07-25,NEG,not ironic
29,1816529196845240576,2024-07-25,NEG,not ironic
30,1816529195612381440,2024-07-25,NEU,ironic
31,1816529194500940032,2024-07-25,NEG,not ironic
32,1816529193657885184,2024-07-25,NEU,ironic
33,1816529192466493952,2024-07-25,NEG,ironic
34,1816529192009499136,2024-07-25,NEU,not ironic
35,1816529190944112896,2024-07-25,NEG,ironic
36,1816529190138839552,2024-07-25,NEU,not ironic
37,1816529189992018176,2024-07-25,POS,not ironic
38,1816529189195120896,2024-07-25,NEU,not ironic
39,1816529188536660224,2024-07-25,NEU,ironic
40,1816529186217156864,2024-07-25,NEG,not ironic
41,1816529184258457600,2024-07-25,NEG,not ironic
42,1816529183029493760,2024-07-25,NEG,not ironic
43,1816529182199087360,2024-07-25,NEG,ironic
44,1816529180710035456,2024-07-25,NEU,not ironic
45,1816529179216875776,2024-07-25,NEG,not ironic
46,1816529177626960128,2024-07-25,NEG,not ironic
47,1816529177396588800,2024-07-25,NEU,not ironic
48,1816529176695910912,2024-07-25,NEU,not ironic
