,Unnamed: 0,id,date,sentiment,irony
0,0,1.859683668886946e+18,2024-11-21,NEG,ironic
1,1,1.859683668018496e+18,2024-11-21,NEG,not ironic
2,2,1.8596836673644132e+18,2024-11-21,NEU,not ironic
3,3,1.8596836617483387e+18,2024-11-21,POS,not ironic
4,4,1.8596836502013711e+18,2024-11-21,NEU,not ironic
5,5,1.859683630542623e+18,2024-11-21,NEU,ironic
6,6,1.8596836116011423e+18,2024-11-21,NEU,not ironic
7,7,1.8596836071593784e+18,2024-11-21,NEU,not ironic
8,8,1.8596836022266227e+18,2024-11-21,NEU,not ironic
9,9,1.859683593263645e+18,2024-11-21,NEU,not ironic
10,10,1.8596835918249984e+18,2024-11-21,NEU,not ironic
11,11,1.8596835904157128e+18,2024-11-21,NEG,not ironic
12,12,1.85968358655257e+18,2024-11-21,NEU,ironic
13,13,1.859683583822295e+18,2024-11-21,NEU,not ironic
14,14,1.859683583012852e+18,2024-11-21,NEG,ironic
15,15,1.8596835730093512e+18,2024-11-21,NEG,not ironic
16,16,1.8596835680097403e+18,2024-11-21,NEG,ironic
17,17,1.8596835610976335e+18,2024-11-21,NEG,not ironic
18,18,1.8596835545460244e+18,2024-11-21,NEG,not ironic
19,19,1.8596835415017395e+18,2024-11-21,NEG,ironic
20,20,1.8596835274088776e+18,2024-11-21,POS,not ironic
21,21,1.859683522765783e+18,2024-11-21,NEU,not ironic
22,22,1.8596835162520412e+18,2024-11-21,NEG,not ironic
23,23,1.859683516055012e+18,2024-11-21,NEG,ironic
24,24,1.859683511839621e+18,2024-11-21,NEG,not ironic
25,25,1.859683491140821e+18,2024-11-21,NEG,not ironic
26,26,1.8596834855035868e+18,2024-11-21,POS,not ironic
27,27,1.859683485495202e+18,2024-11-21,NEU,not ironic
28,28,1.8596834794092623e+18,2024-11-21,NEU,not ironic
29,29,1.8596834792750572e+18,2024-11-21,NEU,not ironic
30,30,1.8596834744515955e+18,2024-11-21,NEG,ironic
31,31,1.859683469019972e+18,2024-11-21,NEU,not ironic
32,32,1.8596834584419372e+18,2024-11-21,NEG,ironic
33,33,1.859683453094306e+18,2024-11-21,NEG,not ironic
34,34,1.859683446144238e+18,2024-11-21,POS,not ironic
