,id,date,sentiment,irony
0,1.859308727456891e+18,2024-11-20,NEU,not ironic
1,1.8593087263076767e+18,2024-11-20,NEG,ironic
2,1.8593087259427471e+18,2024-11-20,NEG,not ironic
3,1.859308725586232e+18,2024-11-20,POS,not ironic
4,1.859308725569479e+18,2024-11-20,NEU,not ironic
5,1.859308724957086e+18,2024-11-20,NEU,not ironic
6,1.8593087243195515e+18,2024-11-20,NEG,ironic
7,1.8593087240343388e+18,2024-11-20,NEU,not ironic
8,1.859308723719856e+18,2024-11-20,NEG,not ironic
9,1.8593087234974804e+18,2024-11-20,NEG,not ironic
10,1.85930872291446e+18,2024-11-20,POS,not ironic
11,1.8593087225705267e+18,2024-11-20,NEG,ironic
12,1.859308722348229e+18,2024-11-20,NEU,not ironic
13,1.859308721853301e+18,2024-11-20,NEG,not ironic
14,1.8593087213584305e+18,2024-11-20,NEG,ironic
15,1.8593087187537103e+18,2024-11-20,NEG,not ironic
16,1.8593087174031444e+18,2024-11-20,NEG,not ironic
17,1.8593087167447572e+18,2024-11-20,NEG,not ironic
18,1.85930871666498e+18,2024-11-20,POS,not ironic
19,1.8593087150081969e+18,2024-11-20,NEU,ironic
20,1.859308714299421e+18,2024-11-20,NEU,not ironic
21,1.85930871303268e+18,2024-11-20,NEG,ironic
22,1.859308711975715e+18,2024-11-20,NEG,ironic
23,1.8593087107509783e+18,2024-11-20,NEU,not ironic
24,1.8593087099498665e+18,2024-11-20,POS,ironic
25,1.8593087098659804e+18,2024-11-20,NEG,ironic
26,1.859308709274657e+18,2024-11-20,NEG,ironic
27,1.8593087092368343e+18,2024-11-20,NEG,not ironic
28,1.8593087085741343e+18,2024-11-20,POS,ironic
29,1.8593087084776653e+18,2024-11-20,NEG,not ironic
30,1.8593087083602253e+18,2024-11-20,NEU,not ironic
31,1.8593087064014848e+18,2024-11-20,NEU,not ironic
32,1.859308706099524e+18,2024-11-20,NEG,not ironic
33,1.8593087060114148e+18,2024-11-20,NEG,not ironic
34,1.859308705029948e+18,2024-11-20,POS,not ironic
35,1.8593087042707784e+18,2024-11-20,NEU,not ironic
36,1.859308704056869e+18,2024-11-20,NEU,not ironic
37,1.8593087027818007e+18,2024-11-20,NEG,not ironic
38,1.8593087010411643e+18,2024-11-20,POS,not ironic
39,1.859308701032776e+18,2024-11-20,NEG,not ironic
40,1.859308700885975e+18,2024-11-20,POS,not ironic
41,1.8593087002484823e+18,2024-11-20,NEU,not ironic
42,1.8593087001477773e+18,2024-11-20,NEG,ironic
43,1.8593086995522565e+18,2024-11-20,POS,not ironic
44,1.8593086995393705e+18,2024-11-20,NEU,not ironic
45,1.8593086991075904e+18,2024-11-20,NEG,ironic
46,1.859308698595984e+18,2024-11-20,NEU,ironic
47,1.8593086953830484e+18,2024-11-20,NEG,ironic
48,1.859308695068324e+18,2024-11-20,NEU,ironic
49,1.8593086932691192e+18,2024-11-20,NEG,not ironic
50,1.8593086920527708e+18,2024-11-20,POS,not ironic
51,1.8593086919479127e+18,2024-11-20,POS,ironic
52,1.859308690928697e+18,2024-11-20,NEG,not ironic
53,1.859308690157052e+18,2024-11-20,POS,not ironic
54,1.8593086896578847e+18,2024-11-20,POS,not ironic
55,1.85930868964946e+18,2024-11-20,NEU,not ironic
56,1.859308687892075e+18,2024-11-20,NEG,ironic
57,1.859308686507901e+18,2024-11-20,NEG,ironic
58,1.8593086847043505e+18,2024-11-20,NEG,ironic
59,1.8593086835048e+18,2024-11-20,NEG,not ironic
60,1.859308683198644e+18,2024-11-20,NEU,ironic
61,1.859308682091328e+18,2024-11-20,POS,not ironic
62,1.859308682040968e+18,2024-11-20,NEG,not ironic
63,1.8593086814664207e+18,2024-11-20,POS,ironic
64,1.859308679448888e+18,2024-11-20,NEU,not ironic
65,1.859308679440499e+18,2024-11-20,NEG,ironic
66,1.8593086785009748e+18,2024-11-20,POS,not ironic
67,1.85930867834998e+18,2024-11-20,NEU,ironic
68,1.8593086772175176e+18,2024-11-20,POS,not ironic
69,1.8593086764960973e+18,2024-11-20,NEU,ironic
70,1.8593086747219072e+18,2024-11-20,NEU,ironic
71,1.8593086737446344e+18,2024-11-20,NEU,not ironic
72,1.8593086731238769e+18,2024-11-20,NEU,not ironic
73,1.8593086726583752e+18,2024-11-20,NEG,ironic
74,1.8593086724947315e+18,2024-11-20,NEU,not ironic
75,1.859308671974638e+18,2024-11-20,NEU,not ironic
76,1.8593086716013448e+18,2024-11-20,NEG,not ironic
77,1.8593086712448865e+18,2024-11-20,NEU,not ironic
78,1.8593086712071416e+18,2024-11-20,NEG,not ironic
79,1.859308670619935e+18,2024-11-20,NEG,not ironic
80,1.8593086704395223e+18,2024-11-20,NEU,not ironic
81,1.859308670150116e+18,2024-11-20,POS,not ironic
82,1.859308669458056e+18,2024-11-20,NEU,ironic
83,1.8593086693909468e+18,2024-11-20,NEG,not ironic
84,1.8593086685563003e+18,2024-11-20,NEG,not ironic
85,1.8593086683968965e+18,2024-11-20,NEU,not ironic
86,1.8593086675622543e+18,2024-11-20,NEG,not ironic
87,1.8593086671469944e+18,2024-11-20,NEG,ironic
88,1.8593086654692723e+18,2024-11-20,NEG,ironic
89,1.8593086651169508e+18,2024-11-20,NEG,ironic
90,1.8593086647814065e+18,2024-11-20,NEU,ironic
91,1.85930866385028e+18,2024-11-20,NEU,ironic
92,1.859308663703516e+18,2024-11-20,NEG,ironic
93,1.8593086634602007e+18,2024-11-20,NEG,ironic
94,1.859308663053099e+18,2024-11-20,POS,not ironic
95,1.859308662931718e+18,2024-11-20,NEU,not ironic
96,1.85930866244518e+18,2024-11-20,NEG,not ironic
97,1.8593086620928576e+18,2024-11-20,NEG,not ironic
98,1.859308661849588e+18,2024-11-20,NEU,not ironic
99,1.859308661581169e+18,2024-11-20,NEU,not ironic
100,1.859308661316912e+18,2024-11-20,NEG,not ironic
101,1.8593086610526705e+18,2024-11-20,NEU,ironic
102,1.8593086593162284e+18,2024-11-20,NEU,not ironic
103,1.8593086590981243e+18,2024-11-20,NEG,not ironic
104,1.8593086587793567e+18,2024-11-20,NEU,not ironic
105,1.859308658506728e+18,2024-11-20,NEG,ironic
106,1.859308658317763e+18,2024-11-20,NEU,not ironic
107,1.859308656099197e+18,2024-11-20,NEG,not ironic
108,1.8593086557217715e+18,2024-11-20,NEU,not ironic
109,1.859308655365194e+18,2024-11-20,NEU,not ironic
110,1.8593086545556933e+18,2024-11-20,NEU,ironic
111,1.8593086538511365e+18,2024-11-20,POS,ironic
112,1.8593086538510584e+18,2024-11-20,NEU,not ironic
113,1.859308651477074e+18,2024-11-20,NEG,not ironic
114,1.859308651196056e+18,2024-11-20,NEG,not ironic
115,1.85930865105773e+18,2024-11-20,POS,ironic
116,1.859308650915152e+18,2024-11-20,NEG,not ironic
117,1.8593086503362235e+18,2024-11-20,NEU,not ironic
118,1.859308650164257e+18,2024-11-20,NEU,not ironic
119,1.8593086493673395e+18,2024-11-20,NEG,ironic
120,1.8593086486501133e+18,2024-11-20,NEG,ironic
121,1.8593086484237312e+18,2024-11-20,NEU,ironic
122,1.8593086481426025e+18,2024-11-20,POS,not ironic
123,1.859308647832224e+18,2024-11-20,NEU,not ironic
124,1.8593086465152123e+18,2024-11-20,NEG,not ironic
125,1.8593086423126144e+18,2024-11-20,NEG,not ironic
126,1.8593086415994885e+18,2024-11-20,NEG,not ironic
127,1.8593086413730327e+18,2024-11-20,POS,not ironic
128,1.859308639225524e+18,2024-11-20,POS,not ironic
129,1.8593086381140216e+18,2024-11-20,POS,not ironic
130,1.859308637115868e+18,2024-11-20,NEG,ironic
131,1.8593086366879585e+18,2024-11-20,NEG,ironic
132,1.859308635677168e+18,2024-11-20,NEU,not ironic
133,1.8593086345530573e+18,2024-11-20,NEG,not ironic
134,1.8593086336345743e+18,2024-11-20,NEU,not ironic
135,1.8593086335000527e+18,2024-11-20,NEG,not ironic
136,1.859308631780684e+18,2024-11-20,NEG,not ironic
137,1.859308631591879e+18,2024-11-20,NEU,not ironic
138,1.8593086312731807e+18,2024-11-20,POS,not ironic
139,1.8593086307278976e+18,2024-11-20,NEG,ironic
140,1.8593086306271887e+18,2024-11-20,NEG,not ironic
141,1.8593086302959004e+18,2024-11-20,NEU,ironic
142,1.8593086300861235e+18,2024-11-20,NEG,ironic
143,1.8593086287311345e+18,2024-11-20,POS,ironic
144,1.8593086284839e+18,2024-11-20,POS,not ironic
145,1.8593086256318057e+18,2024-11-20,NEU,ironic
146,1.859308625329784e+18,2024-11-20,NEG,ironic
147,1.8593086241847373e+18,2024-11-20,NEG,ironic
148,1.859308623115301e+18,2024-11-20,NEU,not ironic
149,1.859308622427169e+18,2024-11-20,NEU,not ironic
150,1.8593086220162831e+18,2024-11-20,NEG,ironic
151,1.859308621877871e+18,2024-11-20,POS,ironic
152,1.859308621777208e+18,2024-11-20,POS,not ironic
153,1.85930862145844e+18,2024-11-20,NEG,not ironic
154,1.8593086202127324e+18,2024-11-20,NEG,not ironic
155,1.859308619881382e+18,2024-11-20,NEU,not ironic
156,1.859308619784913e+18,2024-11-20,NEG,not ironic
157,1.859308618941858e+18,2024-11-20,NEG,not ironic
158,1.859308615804552e+18,2024-11-20,NEU,not ironic
159,1.8593086137954468e+18,2024-11-20,NEU,ironic
160,1.8593086119290148e+18,2024-11-20,POS,ironic
161,1.8593086116647985e+18,2024-11-20,NEU,not ironic
162,1.859308610926543e+18,2024-11-20,NEG,ironic
163,1.8593086103645228e+18,2024-11-20,NEG,ironic
164,1.859308610100376e+18,2024-11-20,NEU,not ironic
165,1.8593086096305649e+18,2024-11-20,NEU,ironic
166,1.859308608732922e+18,2024-11-20,NEG,ironic
167,1.859308608372298e+18,2024-11-20,NEU,not ironic
168,1.8593086065896325e+18,2024-11-20,NEG,ironic
169,1.8593086053187584e+18,2024-11-20,NEU,not ironic
170,1.8593086043877376e+18,2024-11-20,NEG,ironic
171,1.8593086033265623e+18,2024-11-20,NEG,ironic
172,1.8593086018962063e+18,2024-11-20,NEG,ironic
173,1.8593086016445484e+18,2024-11-20,NEG,ironic
174,1.859308599371236e+18,2024-11-20,NEG,ironic
175,1.859308599283155e+18,2024-11-20,POS,not ironic
176,1.8593085980290583e+18,2024-11-20,POS,not ironic
177,1.8593085978654807e+18,2024-11-20,NEU,ironic
178,1.859308597836194e+18,2024-11-20,NEU,not ironic
179,1.859308595986489e+18,2024-11-20,NEU,not ironic
180,1.8593085949043635e+18,2024-11-20,NEG,ironic
181,1.859308594740548e+18,2024-11-20,NEG,ironic
182,1.8593085906093348e+18,2024-11-20,NEU,ironic
183,1.859308590437368e+18,2024-11-20,NEG,not ironic
184,1.859308590311539e+18,2024-11-20,NEG,ironic
185,1.859308590299009e+18,2024-11-20,NEU,ironic
186,1.8593085894936576e+18,2024-11-20,POS,not ironic
187,1.8593085889064468e+18,2024-11-20,NEU,not ironic
188,1.8593085876062413e+18,2024-11-20,NEG,not ironic
189,1.859308586930971e+18,2024-11-20,NEG,ironic
190,1.859308586675077e+18,2024-11-20,NEU,not ironic
191,1.8593085861969267e+18,2024-11-20,NEU,not ironic
192,1.859308585949487e+18,2024-11-20,NEG,not ironic
193,1.8593085853664543e+18,2024-11-20,NEU,not ironic
194,1.8593085852993492e+18,2024-11-20,NEG,not ironic
195,1.8593085833993912e+18,2024-11-20,NEG,not ironic
196,1.85930858260247e+18,2024-11-20,NEU,not ironic
197,1.8593085821410552e+18,2024-11-20,NEU,not ironic
198,1.859308581662884e+18,2024-11-20,NEU,not ironic
199,1.8593085816167465e+18,2024-11-20,NEU,not ironic
200,1.8593085807149711e+18,2024-11-20,NEU,not ironic
201,1.8593085797880305e+18,2024-11-20,NEU,not ironic
202,1.859308579645424e+18,2024-11-20,NEG,ironic
203,1.85930857943577e+18,2024-11-20,NEU,not ironic
204,1.8593085788233403e+18,2024-11-20,NEG,not ironic
205,1.8593085765290683e+18,2024-11-20,NEG,not ironic
206,1.8593085750610496e+18,2024-11-20,NEG,ironic
207,1.8593085749981348e+18,2024-11-20,NEG,not ironic
208,1.8593085737566208e+18,2024-11-20,NEU,not ironic
209,1.859308573597315e+18,2024-11-20,NEG,ironic
210,1.8593085730519777e+18,2024-11-20,NEG,ironic
211,1.859308571701412e+18,2024-11-20,NEG,ironic
212,1.8593085705186184e+18,2024-11-20,NEG,not ironic
213,1.859308569667175e+18,2024-11-20,POS,not ironic
214,1.8593085690002803e+18,2024-11-20,NEU,not ironic
215,1.859308568065016e+18,2024-11-20,NEG,ironic
216,1.8593085679350257e+18,2024-11-20,NEG,not ironic
217,1.8593085677126487e+18,2024-11-20,NEU,not ironic
218,1.859308567452668e+18,2024-11-20,NEU,ironic
219,1.8593085673728904e+18,2024-11-20,POS,not ironic
220,1.859308566311732e+18,2024-11-20,NEU,not ironic
221,1.8593085662488532e+18,2024-11-20,NEU,ironic
222,1.859308566185902e+18,2024-11-20,NEU,not ironic
223,1.8593085661775132e+18,2024-11-20,NEG,not ironic
224,1.8593085659468268e+18,2024-11-20,NEG,ironic
225,1.8593085650156915e+18,2024-11-20,NEU,not ironic
226,1.859308564206212e+18,2024-11-20,NEG,not ironic
