,id,date,sentiment,irony
0,1844434441781051601,2024-10-10,NEG,not ironic
1,1844434439855800786,2024-10-10,NEU,ironic
2,1844434438987579783,2024-10-10,NEG,ironic
3,1844434437062394019,2024-10-10,NEG,not ironic
4,1844434437045616834,2024-10-10,NEG,not ironic
5,1844434435334447511,2024-10-10,NEG,not ironic
6,1844434435099578845,2024-10-10,POS,ironic
7,1844434433295909128,2024-10-10,NEG,ironic
8,1844434432851411042,2024-10-10,NEG,not ironic
9,1844434432134201667,2024-10-10,NEU,not ironic
10,1844434431991480482,2024-10-10,NEU,not ironic
11,1844434430594809969,2024-10-10,NEG,ironic
12,1844434430183735453,2024-10-10,NEU,not ironic
13,1844434429164597343,2024-10-10,NEU,ironic
14,1844434429093216553,2024-10-10,NEG,ironic
15,1844434428954804324,2024-10-10,NEU,not ironic
16,1844434428346630204,2024-10-10,NEG,not ironic
17,1844434426295632237,2024-10-10,NEU,not ironic
18,1844434425486114899,2024-10-10,NEG,not ironic
19,1844434424290852913,2024-10-10,NEG,ironic
20,1844434424148131937,2024-10-10,NEG,ironic
21,1844434423913353390,2024-10-10,POS,ironic
22,1844434422827012495,2024-10-10,NEG,not ironic
23,1844434422663417900,2024-10-10,NEU,ironic
24,1844434422541832245,2024-10-10,NEG,ironic
25,1844434421845573853,2024-10-10,NEG,not ironic
26,1844434421379891499,2024-10-10,NEG,not ironic
27,1844434420763328782,2024-10-10,NEG,not ironic
28,1844434420025131498,2024-10-10,POS,not ironic
29,1844434419240858108,2024-10-10,NEG,not ironic
30,1844434418452267362,2024-10-10,NEU,ironic
31,1844434418326512069,2024-10-10,NEG,ironic
32,1844434417110192514,2024-10-10,NEU,ironic
33,1844434416527081936,2024-10-10,NEG,not ironic
34,1844434416128737362,2024-10-10,NEU,not ironic
35,1844434413654077471,2024-10-10,NEG,ironic
36,1844434412542492758,2024-10-10,NEU,not ironic
37,1844434411795906877,2024-10-10,NEU,not ironic
38,1844434411758231750,2024-10-10,NEG,ironic
39,1844434410420281570,2024-10-10,NEG,not ironic
40,1844434408939585670,2024-10-10,POS,not ironic
41,1844434408067228044,2024-10-10,NEG,ironic
42,1844434407765201128,2024-10-10,NEU,not ironic
43,1844434406003572931,2024-10-10,NEG,not ironic
44,1844434405391298846,2024-10-10,NEG,ironic
45,1844434405001134352,2024-10-10,POS,ironic
46,1844434404673978733,2024-10-10,NEG,ironic
47,1844434404330152381,2024-10-10,NEG,not ironic
48,1844434403533128096,2024-10-10,NEG,not ironic
49,1844434403227001121,2024-10-10,POS,not ironic
50,1844434403189285004,2024-10-10,POS,ironic
51,1844434402266472519,2024-10-10,NEG,not ironic
52,1844434401758937330,2024-10-10,NEU,not ironic
53,1844434399582093577,2024-10-10,NEU,not ironic
54,1844434398944559437,2024-10-10,NEG,not ironic
55,1844434398818730379,2024-10-10,NEG,not ironic
56,1844434398718099728,2024-10-10,NEU,ironic
57,1844434398651064465,2024-10-10,NEG,ironic
58,1844434398592237614,2024-10-10,NEU,not ironic
59,1844434398453649862,2024-10-10,NEU,ironic
60,1844434397472416191,2024-10-10,NEG,not ironic
61,1844434397141008464,2024-10-10,NEU,not ironic
62,1844434397040345554,2024-10-10,POS,not ironic
63,1844434395966603419,2024-10-10,NEU,ironic
64,1844434395215823051,2024-10-10,NEG,not ironic
65,1844434393173270919,2024-10-10,NEU,ironic
66,1844434393064149172,2024-10-10,NEU,not ironic
67,1844434392732795185,2024-10-10,NEG,not ironic
68,1844434391541612563,2024-10-10,NEG,ironic
69,1844434390602088764,2024-10-10,NEU,not ironic
70,1844434390484492571,2024-10-10,NEU,not ironic
71,1844434389322924383,2024-10-10,NEU,ironic
72,1844434388265939334,2024-10-10,NEG,ironic
73,1844434388236595644,2024-10-10,NEG,not ironic
74,1844434387502547246,2024-10-10,NEG,not ironic
75,1844434386584056253,2024-10-10,POS,not ironic
76,1844434386458194307,2024-10-10,POS,not ironic
77,1844434385917051274,2024-10-10,NEG,ironic
78,1844434383538913616,2024-10-10,NEG,not ironic
79,1844434383262056712,2024-10-10,POS,not ironic
80,1844434382775636229,2024-10-10,NEG,not ironic
81,1844434381676609917,2024-10-10,NEG,not ironic
82,1844434379751424397,2024-10-10,POS,ironic
83,1844434379524931779,2024-10-10,NEG,not ironic
84,1844434378614768129,2024-10-10,NEG,ironic
85,1844434378094706699,2024-10-10,NEU,not ironic
86,1844434377893347553,2024-10-10,NEG,not ironic
87,1844434377650077857,2024-10-10,NEG,not ironic
88,1844434376177996108,2024-10-10,NEU,ironic
89,1844434375678754874,2024-10-10,POS,not ironic
90,1844434375477522918,2024-10-10,NEU,not ironic
91,1844434372855828555,2024-10-10,NEG,ironic
92,1844434372050739496,2024-10-10,NEG,not ironic
93,1844434371773902920,2024-10-10,POS,not ironic
94,1844434371568345401,2024-10-10,NEG,not ironic
95,1844434370658173197,2024-10-10,NEG,not ironic
96,1844434369911586866,2024-10-10,NEU,not ironic
97,1844434369789952202,2024-10-10,NEU,not ironic
98,1844434367755714702,2024-10-10,NEU,not ironic
99,1844434366925336918,2024-10-10,NEG,not ironic
100,1844434366749081705,2024-10-10,NEU,not ironic
101,1844434366245765611,2024-10-10,NEG,ironic
102,1844434365142700255,2024-10-10,NEU,ironic
103,1844434363011956984,2024-10-10,NEG,not ironic
104,1844434362944958468,2024-10-10,NEG,not ironic
105,1844434361833357753,2024-10-10,NEU,not ironic
106,1844434361682387068,2024-10-10,NEG,not ironic
107,1844434360147247390,2024-10-10,NEG,not ironic
108,1844434358817435665,2024-10-10,NEU,not ironic
109,1844434357471281243,2024-10-10,NEU,not ironic
110,1844434356703727663,2024-10-10,NEG,not ironic
111,1844434356187824437,2024-10-10,NEG,ironic
112,1844434355516735961,2024-10-10,NEG,not ironic
113,1844434354925363630,2024-10-10,POS,not ironic
114,1844434352970805709,2024-10-10,POS,not ironic
115,1844434352413036625,2024-10-10,NEU,ironic
116,1844434351439937589,2024-10-10,NEG,ironic
117,1844434350420656408,2024-10-10,NEG,ironic
118,1844434349372080473,2024-10-10,NEG,not ironic
119,1844434349355327517,2024-10-10,NEU,not ironic
120,1844434349212741988,2024-10-10,NEG,not ironic
121,1844434348503859620,2024-10-10,POS,not ironic
122,1844434347450925105,2024-10-10,NEU,not ironic
123,1844434346956280225,2024-10-10,NEG,not ironic
124,1844434343999185115,2024-10-10,NEG,not ironic
125,1844434341914620164,2024-10-10,NEG,not ironic
126,1844434341243519071,2024-10-10,NEG,not ironic
127,1844434341159633395,2024-10-10,POS,ironic
128,1844434340954112107,2024-10-10,NEG,not ironic
129,1844434339083456647,2024-10-10,NEG,not ironic
130,1844434339058356537,2024-10-10,NEU,not ironic
131,1844434338957623440,2024-10-10,NEG,not ironic
132,1844434333307986300,2024-10-10,NEG,ironic
133,1844434330682261755,2024-10-10,NEU,not ironic
134,1844434330002813129,2024-10-10,NEG,not ironic
135,1844434329629491265,2024-10-10,NEU,not ironic
136,1844434327737933980,2024-10-10,NEU,not ironic
137,1844434327582671263,2024-10-10,NEU,ironic
138,1844434326794141872,2024-10-10,NEU,not ironic
139,1844434325791703322,2024-10-10,POS,ironic
140,1844434325598847483,2024-10-10,NEG,ironic
141,1844434324994785573,2024-10-10,POS,not ironic
142,1844434324264976498,2024-10-10,NEU,ironic
143,1844434324026020113,2024-10-10,NEU,ironic
144,1844434323946316285,2024-10-10,NEU,ironic
145,1844434323908460793,2024-10-10,NEG,not ironic
146,1844434322155241750,2024-10-10,NEU,not ironic
147,1844434320326599042,2024-10-10,NEG,not ironic
148,1844434317952549248,2024-10-10,NEU,ironic
149,1844434315092033705,2024-10-10,NEG,not ironic
150,1844434314668409341,2024-10-10,NEU,not ironic
151,1844434313837719657,2024-10-10,NEG,not ironic
152,1844434313233957369,2024-10-10,NEG,not ironic
153,1844434312902607161,2024-10-10,NEG,not ironic
154,1844434312453816509,2024-10-10,NEU,not ironic
